Protein IDs	Majority protein IDs	Peptide counts (all)	Peptide counts (razor+unique)	Peptide counts (unique)	Protein names	Gene names	Fasta headers	Number of proteins	Peptides	Razor + unique peptides	Unique peptides	Peptides 6A_1	Peptides 6A_2	Peptides 6A_3	Peptides 6A_4	Peptides 6A_5	Peptides 6A_6	Peptides 6A_7	Peptides 6A_8	Peptides 6A_9	Peptides 6B_1	Peptides 6B_2	Peptides 6B_3	Peptides 6B_4	Peptides 6B_5	Peptides 6B_6	Peptides 6B_7	Peptides 6B_8	Peptides 6B_9	Peptides 6C_1	Peptides 6C_2	Peptides 6C_3	Peptides 6C_4	Peptides 6C_5	Peptides 6C_6	Peptides 6C_7	Peptides 6C_8	Peptides 6C_9	Razor + unique peptides 6A_1	Razor + unique peptides 6A_2	Razor + unique peptides 6A_3	Razor + unique peptides 6A_4	Razor + unique peptides 6A_5	Razor + unique peptides 6A_6	Razor + unique peptides 6A_7	Razor + unique peptides 6A_8	Razor + unique peptides 6A_9	Razor + unique peptides 6B_1	Razor + unique peptides 6B_2	Razor + unique peptides 6B_3	Razor + unique peptides 6B_4	Razor + unique peptides 6B_5	Razor + unique peptides 6B_6	Razor + unique peptides 6B_7	Razor + unique peptides 6B_8	Razor + unique peptides 6B_9	Razor + unique peptides 6C_1	Razor + unique peptides 6C_2	Razor + unique peptides 6C_3	Razor + unique peptides 6C_4	Razor + unique peptides 6C_5	Razor + unique peptides 6C_6	Razor + unique peptides 6C_7	Razor + unique peptides 6C_8	Razor + unique peptides 6C_9	Unique peptides 6A_1	Unique peptides 6A_2	Unique peptides 6A_3	Unique peptides 6A_4	Unique peptides 6A_5	Unique peptides 6A_6	Unique peptides 6A_7	Unique peptides 6A_8	Unique peptides 6A_9	Unique peptides 6B_1	Unique peptides 6B_2	Unique peptides 6B_3	Unique peptides 6B_4	Unique peptides 6B_5	Unique peptides 6B_6	Unique peptides 6B_7	Unique peptides 6B_8	Unique peptides 6B_9	Unique peptides 6C_1	Unique peptides 6C_2	Unique peptides 6C_3	Unique peptides 6C_4	Unique peptides 6C_5	Unique peptides 6C_6	Unique peptides 6C_7	Unique peptides 6C_8	Unique peptides 6C_9	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Sequence length	Sequence lengths	Q-value	Score	Identification type 6A_1	Identification type 6A_2	Identification type 6A_3	Identification type 6A_4	Identification type 6A_5	Identification type 6A_6	Identification type 6A_7	Identification type 6A_8	Identification type 6A_9	Identification type 6B_1	Identification type 6B_2	Identification type 6B_3	Identification type 6B_4	Identification type 6B_5	Identification type 6B_6	Identification type 6B_7	Identification type 6B_8	Identification type 6B_9	Identification type 6C_1	Identification type 6C_2	Identification type 6C_3	Identification type 6C_4	Identification type 6C_5	Identification type 6C_6	Identification type 6C_7	Identification type 6C_8	Identification type 6C_9	Sequence coverage 6A_1 [%]	Sequence coverage 6A_2 [%]	Sequence coverage 6A_3 [%]	Sequence coverage 6A_4 [%]	Sequence coverage 6A_5 [%]	Sequence coverage 6A_6 [%]	Sequence coverage 6A_7 [%]	Sequence coverage 6A_8 [%]	Sequence coverage 6A_9 [%]	Sequence coverage 6B_1 [%]	Sequence coverage 6B_2 [%]	Sequence coverage 6B_3 [%]	Sequence coverage 6B_4 [%]	Sequence coverage 6B_5 [%]	Sequence coverage 6B_6 [%]	Sequence coverage 6B_7 [%]	Sequence coverage 6B_8 [%]	Sequence coverage 6B_9 [%]	Sequence coverage 6C_1 [%]	Sequence coverage 6C_2 [%]	Sequence coverage 6C_3 [%]	Sequence coverage 6C_4 [%]	Sequence coverage 6C_5 [%]	Sequence coverage 6C_6 [%]	Sequence coverage 6C_7 [%]	Sequence coverage 6C_8 [%]	Sequence coverage 6C_9 [%]	Intensity	Intensity 6A_1	Intensity 6A_2	Intensity 6A_3	Intensity 6A_4	Intensity 6A_5	Intensity 6A_6	Intensity 6A_7	Intensity 6A_8	Intensity 6A_9	Intensity 6B_1	Intensity 6B_2	Intensity 6B_3	Intensity 6B_4	Intensity 6B_5	Intensity 6B_6	Intensity 6B_7	Intensity 6B_8	Intensity 6B_9	Intensity 6C_1	Intensity 6C_2	Intensity 6C_3	Intensity 6C_4	Intensity 6C_5	Intensity 6C_6	Intensity 6C_7	Intensity 6C_8	Intensity 6C_9	LFQ intensity 6A_1	LFQ intensity 6A_2	LFQ intensity 6A_3	LFQ intensity 6A_4	LFQ intensity 6A_5	LFQ intensity 6A_6	LFQ intensity 6A_7	LFQ intensity 6A_8	LFQ intensity 6A_9	LFQ intensity 6B_1	LFQ intensity 6B_2	LFQ intensity 6B_3	LFQ intensity 6B_4	LFQ intensity 6B_5	LFQ intensity 6B_6	LFQ intensity 6B_7	LFQ intensity 6B_8	LFQ intensity 6B_9	LFQ intensity 6C_1	LFQ intensity 6C_2	LFQ intensity 6C_3	LFQ intensity 6C_4	LFQ intensity 6C_5	LFQ intensity 6C_6	LFQ intensity 6C_7	LFQ intensity 6C_8	LFQ intensity 6C_9	MS/MS count 6A_1	MS/MS count 6A_2	MS/MS count 6A_3	MS/MS count 6A_4	MS/MS count 6A_5	MS/MS count 6A_6	MS/MS count 6A_7	MS/MS count 6A_8	MS/MS count 6A_9	MS/MS count 6B_1	MS/MS count 6B_2	MS/MS count 6B_3	MS/MS count 6B_4	MS/MS count 6B_5	MS/MS count 6B_6	MS/MS count 6B_7	MS/MS count 6B_8	MS/MS count 6B_9	MS/MS count 6C_1	MS/MS count 6C_2	MS/MS count 6C_3	MS/MS count 6C_4	MS/MS count 6C_5	MS/MS count 6C_6	MS/MS count 6C_7	MS/MS count 6C_8	MS/MS count 6C_9	MS/MS count	Only identified by site	Reverse	Potential contaminant	id	Peptide IDs	Peptide is razor	Mod. peptide IDs	Evidence IDs	MS/MS IDs	Best MS/MS	Oxidation (M) site IDs	Oxidation (M) site positions
Q04344	Q04344	4	4	4	Hit family protein 1	HNT1	Hit family protein 1	1	4	4	4	1	1	1	3	3	3	3	2	3	1	1	1	3	3	3	3	2	3	1	1	1	3	3	3	3	3	3	1	1	1	3	3	3	3	2	3	1	1	1	3	3	3	3	2	3	1	1	1	3	3	3	3	3	3	1	1	1	3	3	3	3	2	3	1	1	1	3	3	3	3	2	3	1	1	1	3	3	3	3	3	3	32.9	32.9	32.9	17.679	158	158	0	41.791	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	7.6	7.6	7.6	28.5	28.5	28.5	22.2	12	22.2	7.6	7.6	7.6	28.5	28.5	28.5	22.2	12	22.2	7.6	7.6	7.6	28.5	28.5	28.5	22.2	22.2	22.2	17781000	655630	497660	404000	1136500	934480	1494900	633520	688600	613640	222560	298930	377570	699710	656730	937220	708800	626160	600700	423040	394490	393020	611580	893280	931790	652770	636940	656780	0	0	0	1338400	853670	1326800	726600	865370	747310	0	0	0	1036000	828060	1081800	862640	866870	780330	0	0	0	848450	849960	980470	546410	918590	808140	1	1	1	3	4	3	1	0	0	1	1	1	4	1	1	2	0	0	1	1	1	3	1	3	2	1	0	38				1256	4619;4823;7067;7165	True;True;True;True	4846;5060;5061;7596;7699	74732;74733;74734;74735;74736;74737;74738;74739;74740;74741;74742;74743;74744;74745;74746;74747;74748;74749;74750;74751;74752;74753;74754;74755;74756;74757;74758;77940;77941;77942;77943;77944;77945;77946;77947;77948;77949;77950;77951;77952;77953;77954;77955;77956;114225;114226;114227;114228;114229;114230;114231;114232;114233;115742;115743;115744;115745;115746;115747;115748;115749;115750;115751;115752;115753;115754;115755;115756;115757	45434;45435;45436;45437;45438;45439;45440;45441;45442;45443;45444;45445;45446;45447;45448;45449;45450;45451;45452;45453;45454;45455;45456;45457;45458;45459;45460;47287;47288;47289;47290;47291;47292;47293;47294;68698;69628;69629;69630;69631;69632;69633;69634	45444;47287;68698;69632	531	83
Q04371	Q04371	8	8	8	Protein-glutamate O-methyltransferase		Protein-glutamate O-methyltransferase	1	8	8	8	0	1	1	5	5	5	1	2	1	0	1	2	5	5	5	1	2	2	0	2	1	5	5	5	1	1	2	0	1	1	5	5	5	1	2	1	0	1	2	5	5	5	1	2	2	0	2	1	5	5	5	1	1	2	0	1	1	5	5	5	1	2	1	0	1	2	5	5	5	1	2	2	0	2	1	5	5	5	1	1	2	18.5	18.5	18.5	54.128	470	470	0	17.394		By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By matching		By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS		By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	0	1.7	1.7	11.9	11.9	11.9	2.6	4.9	2.6	0	1.7	4.7	11.9	11.9	11.9	2.6	4.9	4.9	0	4.7	1.7	11.9	11.9	11.9	2.6	2.6	4.9	11526000	0	604460	502820	798780	1226200	1101900	120340	178360	94511	0	467110	474620	631110	710060	830410	78607	186380	67192	0	321500	476750	609130	895070	782710	92447	114570	161430	0	0	0	672410	734670	664460	0	0	0	0	0	0	708500	728930	830220	0	0	0	0	0	0	604550	736920	666970	0	0	0	0	0	0	2	3	2	0	0	0	0	0	2	3	3	2	0	1	0	0	0	0	2	1	3	0	1	1	26				1257	126;424;1142;3061;4132;6687;7426;9126	True;True;True;True;True;True;True;True	131;449;1203;3213;4340;7157;7979;9772	2215;2216;2217;2218;2219;2220;2221;2222;2223;2224;2225;7445;7446;7447;7448;19422;19423;19424;19425;19426;19427;19428;19429;19430;48891;48892;48893;48894;48895;48896;48897;48898;48899;66542;66543;66544;66545;66546;66547;107905;107906;107907;107908;107909;107910;107911;107912;107913;119867;119868;119869;119870;119871;119872;119873;119874;119875;149057;149058;149059;149060;149061;149062;149063;149064;149065	1484;1485;1486;1487;1488;1489;1490;1491;1492;4743;4744;4745;4746;12335;30102;30103;30104;30105;30106;30107;30108;30109;30110;40856;65159;72039;72040;90394	1486;4745;12335;30110;40856;65159;72039;90394		
Q04373	Q04373	3	3	3	Pumilio homology domain family member 6	PUF6	Pumilio homology domain family member 6	1	3	3	3	0	0	1	2	2	2	1	1	1	0	1	0	2	2	2	2	1	2	0	1	0	2	2	2	2	2	1	0	0	1	2	2	2	1	1	1	0	1	0	2	2	2	2	1	2	0	1	0	2	2	2	2	2	1	0	0	1	2	2	2	1	1	1	0	1	0	2	2	2	2	1	2	0	1	0	2	2	2	2	2	1	4.4	4.4	4.4	75.105	656	656	0	7.7847			By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By matching		By matching		By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching		By matching		By MS/MS	By matching	By MS/MS	By matching	By MS/MS	By matching	0	0	1.4	3.2	3.2	3.2	1.2	1.2	1.8	0	1.4	0	3.2	3.2	3.2	3	1.2	3	0	1.4	0	3.2	3.2	3.2	3	3	1.8	3871300	0	0	136080	320800	400310	337450	65776	122210	18912	0	184700	0	202700	253240	235100	127890	184390	189110	0	132520	0	231590	274330	209620	88945	134630	21007	0	0	0	280530	246630	223870	0	0	0	0	0	0	204380	262320	225090	0	0	0	0	0	0	218770	236510	173370	0	0	0	0	0	1	2	1	1	1	0	0	0	0	0	1	1	1	0	0	0	0	0	0	1	0	2	0	1	0	13				1258	4054;6136;7189	True;True;True	4256;6514;7725	65217;65218;65219;65220;65221;65222;65223;98872;98873;98874;98875;98876;98877;98878;98879;98880;98881;98882;98883;98884;98885;98886;116143;116144;116145;116146;116147;116148;116149;116150;116151;116152;116153;116154	40044;59791;59792;59793;59794;59795;59796;59797;59798;59799;69832;69833;69834	40044;59791;69832		
Q04430	Q04430	1	1	1	Pantothenate kinase CAB1	CAB1	Pantothenate kinase CAB1	1	1	1	1	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	3.3	3.3	3.3	40.903	367	367	1	-2			By MS/MS									By matching									By matching							0	0	3.3	0	0	0	0	0	0	0	0	3.3	0	0	0	0	0	0	0	0	3.3	0	0	0	0	0	0	392830	0	0	131180	0	0	0	0	0	0	0	0	95886	0	0	0	0	0	0	0	0	165760	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	214100	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	+			1259	3678	True	3858	59388;59389;59390	36500	36500	532	143
Q04432	Q04432	2	2	2	Glutathione-independent glyoxalase HSP31	HSP31	Glutathione-independent glyoxalase HSP31	1	2	2	2	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	1	11	11	11	25.67	237	237	0.0022371	4.0256	By matching	By MS/MS		By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	By MS/MS	By matching	By matching	By matching	By matching	By matching	By matching	By matching	By MS/MS		By matching		By matching	By MS/MS	By matching	By matching	By matching	By matching	4.2	4.2	0	6.8	6.8	6.8	6.8	6.8	6.8	4.2	4.2	4.2	6.8	6.8	6.8	6.8	6.8	6.8	0	4.2	0	6.8	6.8	6.8	6.8	6.8	6.8	6944500	172190	184250	0	230720	523180	1165500	256660	165380	333840	225540	206220	145870	216970	272270	338350	308140	180950	238470	0	151410	0	179910	339450	287820	222340	243220	355790	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	230410	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	7				1260	5568;6119	True;True	5840;6497	90115;90116;90117;90118;90119;90120;90121;90122;90123;90124;90125;90126;90127;90128;90129;90130;90131;90132;90133;98661;98662;98663;98664;98665;98666	54684;54685;54686;54687;54688;59692;59693	54688;59693		
Q04439	Q04439	6	6	6	Myosin-5	MYO5	Myosin-5	1	6	6	6	3	3	1	4	3	3	0	1	1	0	1	1	4	3	2	0	0	1	0	2	2	3	2	2	0	0	2	3	3	1	4	3	3	0	1	1	0	1	1	4	3	2	0	0	1	0	2	2	3	2	2	0	0	2	3	3	1	4	3	3	0	1	1	0	1	1	4	3	2	0	0	1	0	2	2	3	2	2	0	0	2	5.9	5.9	5.9	136.9	1219	1219	0	19.171	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS		By matching	By MS/MS		By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS			By matching		By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching			By matching	2.8	2.8	0.9	4	3.1	3.1	0	1.1	1.1	0	0.9	0.9	4	3.1	2.1	0	0	1.1	0	1.9	1.8	3	2.1	2.1	0	0	2.2	4742800	504110	274720	104460	351370	502950	370230	0	76924	80160	0	111400	129120	316600	221850	229760	0	0	48246	0	123490	332010	280440	281460	255210	0	0	148290	0	0	0	231730	300270	257730	0	0	0	0	0	0	267410	248590	257640	0	0	0	0	0	0	236180	304300	258560	0	0	0	3	3	1	2	1	2	0	0	1	0	1	1	1	2	1	0	0	0	0	2	2	1	2	0	0	0	0	26				1261	2060;3958;5136;6825;6941;8870	True;True;True;True;True;True	2180;4157;5392;7343;7463;9504	33582;33583;33584;63825;63826;63827;63828;63829;63830;63831;63832;63833;63834;63835;63836;82991;82992;82993;82994;82995;82996;110353;110354;110355;112118;112119;112120;112121;112122;112123;112124;144641;144642;144643;144644;144645;144646;144647;144648;144649;144650;144651;144652;144653	20722;20723;20724;39230;39231;39232;39233;39234;39235;50378;66446;67336;67337;67338;67339;67340;67341;67342;87769;87770;87771;87772;87773;87774;87775;87776	20722;39235;50378;66446;67342;87775		
Q04491	Q04491	9	9	9	Protein transport protein SEC13	SEC13	Protein transport protein SEC13	1	9	9	9	2	4	4	6	6	6	7	6	5	3	4	4	6	6	6	6	7	6	2	3	4	5	6	5	5	6	6	2	4	4	6	6	6	7	6	5	3	4	4	6	6	6	6	7	6	2	3	4	5	6	5	5	6	6	2	4	4	6	6	6	7	6	5	3	4	4	6	6	6	6	7	6	2	3	4	5	6	5	5	6	6	26.6	26.6	26.6	33.043	297	297	0	26.431	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By MS/MS	7.1	12.1	12.1	20.5	20.5	20.5	20.9	20.9	18.2	9.8	12.1	12.1	20.5	20.5	20.5	18.5	20.9	20.5	7.1	8.8	12.1	16.5	20.5	18.2	15.8	18.2	20.5	48615000	1384300	2682000	2450200	2298700	2957500	3386200	1461000	1179600	1330300	833370	2513800	2410900	1317400	1817300	2005200	1223900	1378600	1924500	882460	1491500	2428100	1172500	1835400	1999400	1097700	1549500	1603100	2147100	2377100	3529900	2392700	2572300	2328600	1797800	1780800	1841400	2216200	2544800	3524000	1662100	1854600	1833900	1738600	1772700	2472700	2176700	2737000	3019600	1474200	1852300	1880500	1952400	2413300	1926300	0	1	4	3	2	4	1	1	1	3	1	4	2	2	1	1	2	2	1	2	3	4	2	1	0	2	2	52				1262	1406;2403;2534;3538;4255;4546;4845;7777;9266	True;True;True;True;True;True;True;True;True	1491;2532;2664;3713;4468;4767;5086;8352;9917	23469;23470;23471;23472;23473;23474;23475;23476;23477;23478;23479;23480;23481;23482;23483;23484;23485;23486;38832;38833;38834;38835;38836;38837;38838;38839;38840;40827;40828;40829;40830;40831;40832;40833;40834;40835;40836;40837;40838;40839;40840;40841;40842;40843;56891;56892;56893;56894;56895;56896;56897;56898;56899;56900;56901;56902;56903;56904;68549;68550;68551;68552;68553;68554;68555;68556;68557;68558;68559;68560;68561;68562;73490;73491;73492;73493;73494;73495;73496;73497;73498;73499;73500;73501;73502;73503;78388;78389;78390;78391;78392;78393;78394;78395;78396;78397;78398;78399;78400;78401;78402;78403;78404;78405;125708;125709;125710;125711;125712;125713;125714;125715;125716;125717;125718;125719;125720;125721;125722;125723;125724;151267;151268;151269;151270;151271;151272;151273;151274;151275;151276;151277;151278;151279;151280;151281;151282;151283;151284;151285;151286	14623;14624;14625;14626;14627;14628;14629;14630;14631;14632;24031;24032;24033;24034;24035;25238;25239;25240;25241;25242;25243;25244;25245;34944;34945;34946;34947;42001;42002;42003;42004;44650;44651;44652;44653;44654;44655;44656;44657;44658;47542;47543;47544;47545;47546;47547;75735;75736;75737;75738;75739;75740;75741;91689;91690;91691	14623;24035;25243;34944;42001;44654;47543;75736;91690		
Q04493	Q04493	4	4	4	Prefoldin subunit 5	GIM5	Prefoldin subunit 5	1	4	4	4	1	1	1	4	3	2	3	3	2	2	2	1	3	3	2	3	2	2	1	1	2	3	2	2	2	2	2	1	1	1	4	3	2	3	3	2	2	2	1	3	3	2	3	2	2	1	1	2	3	2	2	2	2	2	1	1	1	4	3	2	3	3	2	2	2	1	3	3	2	3	2	2	1	1	2	3	2	2	2	2	2	27.6	27.6	27.6	18.356	163	163	0	13.406	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	6.1	6.7	6.7	27.6	20.9	14.7	21.5	21.5	14.7	12.9	12.9	6.7	20.9	20.9	14.7	21.5	14.7	14.7	6.1	6.7	12.9	21.5	14.7	14.7	15.3	14.7	14.7	7808200	147950	201910	151650	854480	769120	506780	271580	337670	433540	144560	271680	146150	321790	468870	317880	145490	198660	211240	125960	126950	150560	241990	274260	334820	178580	228640	245420	0	0	0	491200	336380	378670	343020	512550	506380	385930	427920	0	291250	451750	383890	233720	408940	363000	0	0	0	203420	337830	385050	407540	386130	368500	0	1	1	2	1	1	1	1	1	2	1	1	1	3	0	0	1	0	1	1	2	1	1	1	2	1	1	29				1263	1988;5061;5154;8505	True;True;True;True	2107;5308;5412;9119	32347;32348;32349;32350;32351;32352;32353;32354;32355;32356;32357;32358;32359;32360;32361;32362;32363;32364;81712;81713;81714;81715;81716;81717;81718;81719;81720;81721;81722;81723;81724;81725;81726;81727;81728;81729;83286;83287;83288;83289;83290;83291;83292;83293;83294;138225;138226;138227;138228;138229;138230;138231;138232;138233;138234;138235;138236;138237	19960;19961;19962;19963;19964;49608;49609;49610;49611;49612;49613;49614;49615;49616;49617;49618;49619;49620;50573;83705;83706;83707;83708;83709;83710;83711;83712;83713;83714	19960;49608;50573;83712		
Q04500	Q04500	2	2	2	U3 small nucleolar RNA-associated protein 14	UTP14	U3 small nucleolar RNA-associated protein 14	1	2	2	2	0	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	1	0	1	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	1	1	0	1	0	0	0	2.4	2.4	2.4	103.02	899	899	0.0015649	4.5372		By matching	By matching	By matching	By MS/MS						By MS/MS	By MS/MS	By matching	By matching	By matching						By MS/MS	By matching		By matching				0	1.1	1.1	1.3	1.3	0	0	0	0	0	1.1	1.1	1.3	1.3	1.3	0	0	0	0	0	1.3	1.3	0	1.3	0	0	0	1157600	0	76860	59248	139710	174150	0	0	0	0	0	33962	0	76891	95063	139480	0	0	0	0	0	122370	101720	0	138110	0	0	0	0	0	0	0	0	0	0	0	0	0	48332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	4				1264	8327;8942	True;True	8930;9578	135331;135332;135333;135334;135335;135336;135337;135338;145845;145846;145847;145848	81805;81806;88390;88391	81805;88390		
Q04636	Q04636	4	4	4	FACT complex subunit POB3	POB3	FACT complex subunit POB3	1	4	4	4	0	1	1	1	3	3	1	1	1	0	1	1	1	3	2	1	1	1	0	1	1	3	3	2	1	1	1	0	1	1	1	3	3	1	1	1	0	1	1	1	3	2	1	1	1	0	1	1	3	3	2	1	1	1	0	1	1	1	3	3	1	1	1	0	1	1	1	3	2	1	1	1	0	1	1	3	3	2	1	1	1	7.8	7.8	7.8	62.993	552	552	0	25.18		By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By matching		By matching	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS	By matching		By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By matching	By matching	By matching	0	2.4	2.4	2.4	6.3	5.8	2.4	2.4	2.4	0	2.4	2.4	2.4	5.8	3.8	2.4	2.4	2.4	0	2.4	2.4	5.8	5.8	4.3	2.4	2.4	2.4	8407600	0	243790	419970	379820	461860	698440	330460	196640	277070	0	447110	220290	369590	526370	486790	181830	188550	262540	0	235130	389910	383210	528820	536640	171410	247950	223410	0	0	0	0	0	439090	0	0	0	0	0	0	0	520530	455020	0	0	0	0	0	0	452650	388540	493580	0	0	0	0	0	0	1	3	3	0	1	0	0	0	0	1	2	1	0	1	0	0	1	0	2	2	2	0	0	0	20				1265	1607;2388;4001;4234	True;True;True;True	1702;2517;4202;4446	26664;26665;26666;26667;26668;26669;38596;38597;38598;38599;38600;64499;64500;64501;64502;64503;64504;64505;64506;64507;64508;64509;64510;64511;64512;64513;64514;64515;64516;64517;64518;64519;64520;64521;64522;68287	16558;16559;16560;16561;16562;16563;23895;39660;39661;39662;39663;39664;39665;39666;39667;39668;39669;39670;39671;41867	16561;23895;39669;41867		
Q04660	Q04660	4	4	4	Ribosome biogenesis protein ERB1	ERB1	Ribosome biogenesis protein ERB1	1	4	4	4	1	1	1	1	3	2	3	2	2	2	0	1	2	1	2	3	3	2	1	0	1	1	2	2	3	3	2	1	1	1	1	3	2	3	2	2	2	0	1	2	1	2	3	3	2	1	0	1	1	2	2	3	3	2	1	1	1	1	3	2	3	2	2	2	0	1	2	1	2	3	3	2	1	0	1	1	2	2	3	3	2	6.2	6.2	6.2	91.704	807	807	0	14.768	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS		By MS/MS	By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By matching	By MS/MS		By matching	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	By MS/MS	1.5	1.1	1.1	1.1	5.2	2.6	3.6	2.6	2.6	2.6	0	1.1	2.6	1.1	3.7	3.6	3.6	2.6	1.1	0	1.1	1.1	3.7	3.7	3.6	3.6	2.6	6012100	274410	82998	0	204510	472180	325650	315600	407600	324710	82851	0	0	144640	141190	203340	327560	403200	343190	59794	0	51468	101950	256940	251340	407100	397120	432780	0	0	0	0	273780	165210	432870	795460	396350	0	0	0	160130	0	410250	418210	710740	390150	0	0	0	0	445270	447830	532400	550990	726980	1	1	1	1	2	1	2	2	1	1	0	1	0	1	1	2	2	0	0	0	0	1	1	1	2	1	2	28				1266	5276;7308;7421;9416	True;True;True;True	5539;7850;7974;10078	85284;85285;85286;85287;85288;85289;85290;85291;85292;85293;85294;85295;85296;85297;118096;118097;118098;118099;118100;118101;118102;118103;118104;118105;118106;118107;118108;118109;118110;118111;118112;118113;118114;118115;118116;118117;118118;118119;119824;119825;119826;119827;154270;154271;154272;154273;154274	51823;51824;51825;51826;51827;51828;70988;70989;70990;70991;70992;70993;70994;70995;70996;70997;70998;70999;71000;71001;71002;71003;71004;71005;71006;71007;72021;93679;93680;93681	51826;70995;72021;93680		
