LFQ intensity 6A_1	LFQ intensity 6A_2	LFQ intensity 6A_3	LFQ intensity 6A_4	LFQ intensity 6A_5	LFQ intensity 6A_6	LFQ intensity 6A_7	LFQ intensity 6A_8	LFQ intensity 6A_9	LFQ intensity 6B_1	LFQ intensity 6B_2	LFQ intensity 6B_3	LFQ intensity 6B_4	LFQ intensity 6B_5	LFQ intensity 6B_6	LFQ intensity 6B_7	LFQ intensity 6B_8	LFQ intensity 6B_9	LFQ intensity 6C_1	LFQ intensity 6C_2	LFQ intensity 6C_3	LFQ intensity 6C_4	LFQ intensity 6C_5	LFQ intensity 6C_6	LFQ intensity 6C_7	LFQ intensity 6C_8	LFQ intensity 6C_9	Peptides	Razor + unique peptides	Unique peptides	Sequence coverage [%]	Unique + razor sequence coverage [%]	Unique sequence coverage [%]	Mol. weight [kDa]	Q-value	Score	Intensity	MS/MS count	Protein IDs	Majority protein IDs	Protein names	Gene names
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.91949	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.94627	NaN	NaN	NaN	NaN	18.29424	2	2	2	24.1	24.1	24.1	10.202	0.0015798	4.6403	5016800	4	O74700	O74700	Mitochondrial import inner membrane translocase subunit TIM9	TIM9
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.95433	NaN	NaN	1	1	1	13.5	13.5	13.5	10.386	0.0022059	3.7887	20369000	8	O94742	O94742	26S proteasome complex subunit SEM1	SEM1
28.5476	27.9695	27.68919	28.11018	28.22789	28.28767	27.95665	28.1062	27.89574	28.14628	27.80606	27.44198	28.00796	28.2479	28.30491	27.97531	28.04932	27.93927	27.74817	28.04103	27.61323	27.96549	28.21591	28.11491	27.89695	28.06461	27.93129	15	15	14	42	42	39.9	36.849	0	321.86	6445700000	411	P00330;P00331;P38113	P00330	Alcohol dehydrogenase 1	ADH1
NaN	NaN	NaN	23.15436	NaN	NaN	23.31424	22.39788	22.36092	NaN	NaN	NaN	23.54757	NaN	NaN	23.25296	22.42601	NaN	NaN	NaN	NaN	23.56291	NaN	NaN	23.69062	22.65202	22.76521	24	3	3	55.4	7.5	7.5	35.846	0.00088417	6.1333	356920000	29	P00358	P00358	Glyceraldehyde-3-phosphate dehydrogenase 2	TDH2
29.00927	28.93182	29.17498	29.89361	29.58411	29.83957	29.9303	29.87656	29.8878	29.26725	29.59251	28.72244	30.19613	30.00999	30.05672	29.94475	29.82623	29.85809	28.86779	28.71119	28.8337	30.11309	29.80366	29.96705	29.96912	29.76002	29.80034	27	27	5	55.4	55.4	7.5	35.746	0	323.31	20197000000	828	P00359	P00359	Glyceraldehyde-3-phosphate dehydrogenase 3	TDH3
20.39979	19.921	21.04847	20.27799	20.11197	19.85663	20.13871	20.48424	20.68979	20.66709	19.10137	20.11629	19.78323	19.83016	19.70332	19.95617	20.51374	20.48168	NaN	NaN	20.33495	19.64047	19.78122	19.7638	20.09404	20.76353	20.54699	18	8	8	52.7	25.6	25.6	35.75	0	26.855	27947000	70	P00360	P00360	Glyceraldehyde-3-phosphate dehydrogenase 1	TDH1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.46451	NaN	NaN	NaN	3	3	3	9.4	9.4	9.4	40.352	0	12	6360400	7	P00431	P00431	Cytochrome c peroxidase, mitochondrial	CCP1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.78381	18.83485	NaN	19.64827	19.33324	19.20299	NaN	NaN	NaN	20.80223	19.8672	20.15462	21.32871	21.08648	21.66709	6	6	6	34	34	34	15.804	0	24.952	14242000	20	P00441ups	P00441ups		
24.93071	24.77771	24.92981	24.20829	24.52767	24.5576	24.91579	24.92547	24.81098	24.50319	24.453	25.20191	24.29278	24.50773	24.49014	24.79099	24.72182	24.58159	NaN	24.3678	25.29411	24.39225	24.6075	24.47698	24.74597	24.78187	24.7399	12	12	12	76.6	76.6	76.6	15.854	0	103.58	648610000	166	P00445	P00445	Superoxide dismutase [Cu-Zn]	SOD1
NaN	NaN	NaN	17.75192	17.35853	17.46611	NaN	NaN	NaN	NaN	NaN	NaN	17.42669	17.2774	17.12727	NaN	NaN	NaN	NaN	NaN	NaN	17.27394	17.11054	17.28771	NaN	NaN	NaN	3	3	3	13.7	13.7	13.7	25.774	0	10.569	4185700	14	P00447	P00447	Superoxide dismutase [Mn], mitochondrial	SOD2
19.91458	20.06553	19.80363	21.1261	21.18471	21.11051	20.85095	20.92557	20.9876	19.71196	19.29203	20.4206	20.7357	20.89763	20.93682	20.83545	21.40166	20.93438	19.80008	19.31092	19.80467	20.92593	20.85871	21.06979	20.945	21.57773	21.29092	9	9	9	30	30	30	32.266	0	49.24	42607000	95	P00498	P00498	ATP phosphoribosyltransferase	HIS1
28.93722	29.32243	28.35712	29.13836	29.26085	29.44253	29.15682	29.05002	28.90314	28.83762	28.9712	28.06296	29.23827	29.37464	29.30806	29.16658	28.98796	28.90722	29.21375	28.66224	28.07511	29.22633	29.35309	29.27073	29.11158	29.02022	29.03703	42	42	39	70.4	70.4	68.4	54.544	0	323.31	13445000000	993	P00549	P00549	Pyruvate kinase 1	CDC19
28.47812	28.64461	27.63118	28.64055	28.59911	28.69608	28.64444	28.60187	28.48857	27.50097	28.69544	26.91821	28.47935	28.60858	28.70757	28.66377	28.64351	28.5125	27.88449	27.7433	27.47669	28.49713	28.58384	28.54569	28.55534	28.60148	28.56602	27	27	27	61.8	61.8	61.8	44.738	0	323.31	8566100000	789	P00560	P00560	Phosphoglycerate kinase	PGK1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.17019	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.33617	19.28254	3	3	3	5.6	5.6	5.6	52.776	0.00082781	5.2335	5878100	13	P24031;P00635;P38693;P35842	P24031;P00635;P38693;P35842	Constitutive acid phosphatase;Repressible acid phosphatase;Acid phosphatase PHO12;Acid phosphatase PHO11	PHO3;PHO5;PHO12;PHO11
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.24493	20.24609	NaN	NaN	20.39079	NaN	NaN	NaN	21.61634	21.53749	21.57325	NaN	NaN	NaN	3	3	3	21.1	21.1	21.1	14.078	0.0009058	6.5947	17763000	17	P00709ups	P00709ups		
NaN	NaN	NaN	20.1514	20.0988	20.07078	19.80535	20.35466	20.29983	NaN	NaN	NaN	20.10712	20.21999	20.17194	20.3656	20.29603	20.05881	NaN	NaN	NaN	20.089	20.07822	20.16791	20.1706	20.391	20.18398	6	6	6	19.5	19.5	19.5	35.662	0	43.01	25017000	59	P00812	P00812	Arginase	CAR1
21.98846	21.34413	21.79982	21.95141	21.90907	21.91674	21.93639	22.33879	22.11899	21.49877	21.4763	21.9029	21.9289	21.66822	21.96017	21.8341	22.1753	22.04019	21.33085	22.0422	21.36255	21.66999	21.76211	21.89959	21.91174	22.11245	22.18698	18	18	18	26	26	26	87.72	0	85.598	89940000	162	P00815	P00815	Histidine biosynthesis trifunctional protein;Phosphoribosyl-AMP cyclohydrolase;Phosphoribosyl-ATP pyrophosphohydrolase;Histidinol dehydrogenase	HIS4
23.92669	24.36179	24.757	24.67638	24.5977	24.69631	24.48953	24.68116	24.74653	24.96737	24.537	24.851	24.42733	24.68051	24.5251	24.368	24.72463	24.68169	24.8658	24.21178	23.83123	24.46407	24.62193	24.50918	24.3025	24.80966	24.68827	13	13	13	48.8	48.8	48.8	32.299	0	174.79	570030000	287	P00817	P00817	Inorganic pyrophosphatase	IPP1
22.84006	23.0065	22.99324	23.14261	23.2184	23.23396	23.41532	23.59206	23.57184	23.02543	23.01171	23.32759	23.00139	23.07114	23.19298	23.37226	23.63677	23.45739	23.07346	22.95853	23.22302	22.9514	23.08905	23.19735	23.28757	23.57577	23.38732	14	14	14	36.4	36.4	36.4	54.793	0	126.21	225500000	199	P00830	P00830	ATP synthase subunit beta, mitochondrial	ATP2
NaN	NaN	NaN	18.77793	18.59485	18.44912	17.62756	17.8219	18.14525	NaN	NaN	NaN	18.09538	18.20996	18.31933	17.34377	NaN	17.80644	NaN	NaN	NaN	17.90771	17.88804	18.04313	17.22327	18.09254	18.30019	6	6	6	13.6	13.6	13.6	53.359	0	15.32	9878300	32	P00890	P00890	Citrate synthase, mitochondrial	CIT1
21.30011	21.55305	21.89138	21.28901	21.16349	21.32915	21.29771	21.29367	21.4494	21.18368	21.53545	21.52191	21.05417	21.20592	21.4288	21.30235	21.21128	21.3165	21.1475	21.63134	21.71473	21.0745	21.2858	21.11693	21.20108	21.14861	21.34624	12	12	12	28.8	28.8	28.8	56.767	0	46.857	67345000	87	P00899	P00899	Anthranilate synthase component 1	TRP2
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.23503	NaN	19.1137	2	2	2	6.2	6.2	6.2	28.739	0.00087719	5.9696	10362000	12	P00915ups	P00915ups		
NaN	NaN	NaN	NaN	18.99092	18.90483	NaN	NaN	NaN	NaN	NaN	NaN	20.2894	20.24319	19.87007	19.87458	19.81875	19.90982	NaN	NaN	21.3191	21.35407	20.95893	22.26931	21.39174	21.68432	20.86181	3	3	3	8.1	8.1	8.1	29.114	0	8.1546	30950000	25	P00918ups	P00918ups		
22.57489	22.55009	22.70056	23.11313	23.17054	23.29067	22.75538	22.26794	22.58003	22.71062	23.42547	23.33552	23.2737	23.18804	23.40224	23.00103	22.33936	22.39417	23.105	22.47442	23.16648	23.13693	23.30744	23.32237	22.4497	22.37785	22.5386	16	6	6	33.4	14.2	14.2	46.816	0	118.2	185440000	80	P00924	P00924	Enolase 1	ENO1
28.80876	28.6583	27.8759	29.22253	29.34187	29.43718	28.78544	28.63965	28.66969	28.05786	28.20466	27.59128	29.19547	29.38494	29.5477	28.71957	28.60862	28.53323	28.95213	28.43448	28.07643	29.22798	29.31216	29.22954	28.74631	28.68509	28.73292	25	25	15	49.2	49.2	34.8	46.914	0	323.31	11976000000	715	P00925	P00925	Enolase 2	ENO2
19.32538	20.50978	20.52564	21.13301	21.15752	20.87283	20.69685	20.88017	20.81441	20.73265	20.50184	20.91598	20.90058	20.83376	20.79035	20.42686	20.72675	20.58829	NaN	20.64465	20.13521	20.74468	20.746	20.89608	20.38406	20.86189	20.60775	15	15	15	32.1	32.1	32.1	63.83	0	65.283	39359000	107	P00927	P00927	Threonine dehydratase, mitochondrial	ILV1
22.83459	22.79778	22.68404	23.07158	23.19287	23.24974	23.10738	23.2365	23.36386	22.55237	22.92187	23.4462	22.92644	23.18342	23.09634	23.17877	23.47988	23.2338	23.27682	22.90325	22.96455	22.96056	23.24718	23.18995	23.0384	23.26513	23.19369	18	18	18	26.3	26.3	26.3	76.625	0	105.53	212750000	200	P00931	P00931	Tryptophan synthase	TRP5
NaN	NaN	NaN	19.92119	20.03147	19.77229	NaN	NaN	18.94266	NaN	NaN	NaN	19.25663	19.55972	19.79251	NaN	NaN	NaN	NaN	NaN	NaN	19.35145	19.42686	19.42039	NaN	NaN	NaN	7	7	7	17.1	17.1	17.1	53.489	0	37.125	19075000	27	P00937	P00937	Multifunctional tryptophan biosynthesis protein;Anthranilate synthase component 2;Indole-3-glycerol phosphate synthase	TRP3
26.01344	25.25533	25.14837	26.00526	26.28109	26.21466	26.63907	26.87162	26.55644	25.60057	25.21249	25.21623	25.93995	26.14472	26.20296	26.58276	26.69909	26.55751	25.6689	25.61787	25.2666	25.93276	26.14585	26.03299	26.38317	26.94089	26.58176	10	10	10	43.1	43.1	43.1	26.795	0	299.76	1750300000	194	P00942	P00942	Triosephosphate isomerase	TPI1
25.42499	25.36393	24.23352	27.54333	27.2658	27.15576	27.45348	27.41981	27.53853	25.32601	24.56104	23.74366	27.41587	27.39681	27.36052	27.43149	27.44979	27.39836	25.58626	24.54504	24.64191	27.39305	27.27932	27.32826	27.42246	27.49694	27.40844	14	14	14	50.6	50.6	50.6	27.608	0	168.86	3014600000	321	P00950	P00950	Phosphoglycerate mutase 1	GPM1
22.75615	23.0202	22.94584	22.58974	22.94512	22.78963	22.43196	22.63205	22.62968	23.04828	22.81409	22.83973	22.63309	22.79834	22.82594	22.5417	22.22078	22.60243	21.76044	22.50857	22.90916	22.53065	22.83306	22.74792	22.50678	22.49106	22.53936	24	24	24	33.7	33.7	33.7	85.677	0	119.03	160180000	212	P00958	P00958	Methionine--tRNA ligase, cytoplasmic	MES1
NaN	NaN	NaN	NaN	NaN	NaN	18.73298	17.46348	NaN	NaN	NaN	NaN	NaN	NaN	17.59376	19.48795	18.37708	18.91503	NaN	NaN	NaN	19.88988	20.08447	20.04073	20.96614	19.59923	20.58233	5	5	5	16	16	16	49.039	0	10.619	10658000	29	P01008ups;CON__P41361	P01008ups		
NaN	NaN	NaN	18.71264	18.81212	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.50378	20.85453	20.78101	NaN	NaN	19.97505	NaN	NaN	NaN	22.26147	22.31595	22.15078	20.96508	21.38638	21.46034	3	3	3	52.7	52.7	52.7	8.2736	0	39.619	29652000	25	P01031ups	P01031ups		
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.52642	1	1	1	5.8	5.8	5.8	21.298	0.0015349	4.3676	2423500	4	P01112ups	P01112ups		
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.74826	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.69323	17.73198	NaN	NaN	NaN	4	4	4	16.2	16.2	16.2	34.346	0	12.616	2415100	12	P01119	P01119	Ras-like protein 1	RAS1
NaN	NaN	NaN	19.97533	19.99631	19.84954	20.1858	20.42347	20.4915	NaN	NaN	NaN	20.15919	20.04926	19.97155	19.8642	20.47189	20.33985	NaN	NaN	NaN	19.96986	20.06289	19.59065	20.31849	20.27685	20.36506	9	9	9	37	37	37	34.705	0	39.944	25329000	64	P01120	P01120	Ras-like protein 2	RAS2
NaN	21.85654	21.69362	21.97575	21.58738	21.74251	21.52507	21.97607	21.47259	21.85361	21.33745	21.59478	21.95134	21.74032	21.90569	21.36725	21.4065	21.53288	NaN	21.49346	21.76344	21.63648	21.38459	21.48454	21.26757	21.25194	21.15518	7	7	7	31.1	31.1	31.1	23.214	0	70.227	66298000	50	P01123	P01123	GTP-binding protein YPT1	YPT1
NaN	NaN	NaN	19.00487	18.67845	18.87781	19.42167	NaN	18.51056	NaN	NaN	NaN	20.34798	20.65665	20.16472	20.46971	20.32036	20.52526	NaN	NaN	NaN	22.61702	22.99473	23.06482	22.78648	22.80345	22.11547	9	9	9	63.3	63.3	63.3	12.294	0	49.815	49404000	37	P01127ups	P01127ups		
NaN	NaN	NaN	18.3705	18.73394	18.60578	NaN	NaN	NaN	NaN	NaN	NaN	20.26991	20.90006	20.61594	19.18904	19.66239	19.43573	NaN	NaN	NaN	22.14796	22.18897	22.34033	21.71095	22.39765	22.32237	4	4	4	43.3	43.3	43.3	7.4754	0	41.633	34454000	32	P01344ups	P01344ups		
NaN	17.29446	NaN	17.84175	17.8343	17.94089	NaN	NaN	NaN	NaN	18.57633	19.88148	18.17065	18.10963	18.12	NaN	NaN	NaN	NaN	21.41101	19.97365	19.45286	NaN	20.74608	NaN	NaN	NaN	2	2	2	10.2	10.2	10.2	17.352	0.0015686	4.565	11713000	16	P01375ups	P01375ups		
NaN	NaN	NaN	17.70516	17.94729	18.61259	NaN	NaN	NaN	NaN	NaN	NaN	19.18384	19.93431	19.59682	18.6607	19.63087	19.34161	NaN	NaN	NaN	21.52487	21.6428	21.85361	20.71398	21.8031	21.68505	4	4	4	28.1	28.1	28.1	17.052	0	10.95	20410000	31	P02144ups	P02144ups		
NaN	26.00232	26.10771	24.54557	24.79744	24.59639	24.7052	24.39761	24.44714	25.6384	25.86283	25.02441	24.76557	24.76966	24.90205	24.65791	24.72432	24.29116	25.42393	25.85764	26.05492	24.80642	24.68742	24.90242	24.75964	24.31133	24.3394	9	9	9	46.6	46.6	46.6	14.237	0	27.364	814190000	121	P02294;P02293	P02294;P02293	Histone H2B.2;Histone H2B.1	HTB2;HTB1
22.72167	22.41483	22.06178	23.34137	23.55801	24.01231	24.29327	23.51629	23.93058	22.47346	21.84931	22.028	23.41067	23.69753	23.85567	24.10238	23.97919	23.84431	23.15131	22.29258	22.38382	23.93643	23.78207	23.85852	24.07071	23.76547	23.52373	6	6	6	47.6	47.6	47.6	11.368	0	45.759	269290000	68	P02309	P02309	Histone H4	HHF1
25.71049	25.13641	25.53249	25.29642	25.23699	25.19622	25.42637	25.38387	25.18696	25.07079	25.04668	25.49271	24.91338	25.29134	25.11862	25.32677	25.35171	25.36276	25.56276	25.29148	25.60003	24.8867	25.10793	25.06225	25.24402	25.33763	25.36663	4	4	4	34.5	34.5	34.5	11.05	0	268.94	918720000	142	P02400	P02400	60S acidic ribosomal protein P2-beta	RPP2B
24.67815	25.282	25.47871	24.56366	24.62238	24.78497	24.49917	24.39643	24.12076	24.23812	25.32038	25.89196	24.50712	24.71518	24.69461	24.47933	24.36753	24.36586	25.88232	25.58964	25.31496	24.4706	24.45048	24.71973	24.49253	24.44152	24.35016	5	5	5	29.5	29.5	29.5	16.721	0	67.637	682150000	119	P02406	P02406	60S ribosomal protein L28	RPL28
25.03112	25.17767	24.63284	26.37761	26.39154	26.3918	25.98618	26.06046	26.10286	25.09418	24.92592	24.44834	26.10225	26.39826	26.35879	25.87075	26.16452	26.0246	25.68646	25.36616	24.88553	25.89282	26.17509	26.24743	25.74894	26.3137	26.1776	11	11	11	64	64	64	15.803	0	316.86	1459500000	207	P14127;P02407	P14127;P02407	40S ribosomal protein S17-B;40S ribosomal protein S17-A	RPS17B;RPS17A
19.21618	19.52426	19.2827	21.19202	20.87755	20.88144	19.72237	20.08978	20.1934	19.41634	19.61506	NaN	20.48326	20.50271	20.54661	19.70332	20.20884	20.07796	18.58274	19.97855	19.33322	20.25165	20.29367	20.53383	19.92605	20.43278	20.05285	7	7	7	16.2	16.2	16.2	50.922	0	69.988	29750000	82	P02557	P02557	Tubulin beta chain	TUB2
NaN	NaN	NaN	19.49015	19.40137	19.38629	20.34646	19.71969	19.57178	NaN	NaN	NaN	21.01243	21.02432	21.4712	21.2458	20.98704	21.13138	NaN	NaN	NaN	22.47189	22.72546	22.66321	22.98005	22.18065	22.80796	6	6	6	39.7	39.7	39.7	20.575	0	26.11	53597000	59	P02753ups	P02753ups		
NaN	18.82015	NaN	20.20108	20.15721	19.75006	20.05523	19.67382	19.8372	NaN	20.22635	19.94521	22.0482	22.04873	22.0069	22.33063	22.43672	22.39613	NaN	22.30226	23.05983	23.92515	24.44966	24.09192	24.3434	24.10278	23.81685	28	28	28	36.7	36.7	36.7	75.181	0	129.67	142680000	135	P02787ups	P02787ups		
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.37719	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.37422	20.86393	21.07653	NaN	NaN	NaN	3	3	3	4.1	4.1	4.1	76.164	0.00087108	5.8712	9368300	8	P02788ups	P02788ups		
NaN	NaN	NaN	21.26127	21.64474	21.86053	21.64544	22.239	21.88577	NaN	NaN	NaN	21.59432	21.52602	21.51499	22.54024	NaN	21.4403	NaN	NaN	NaN	21.93722	21.7154	21.61899	21.95497	21.63653	21.77274	36	5	5	40.9	5.6	5.6	81.405	0	27.52	81567000	57	P02829	P02829	ATP-dependent molecular chaperone HSP82	HSP82
NaN	NaN	NaN	20.92426	20.51518	20.63494	20.47398	20.9276	21.07248	NaN	NaN	NaN	20.61351	20.49941	20.35735	20.31584	20.86098	20.87665	NaN	NaN	NaN	20.33353	20.2105	20.28093	20.50009	21.0627	20.88189	9	9	9	23.6	23.6	23.6	47.972	0	92.975	29124000	80	P02992	P02992	Elongation factor Tu, mitochondrial	TUF1
29.37613	29.605	27.96108	29.09308	29.04268	29.17726	29.04122	28.77725	28.87666	26.4589	29.71211	27.84715	29.07971	28.95956	29.03729	29.03949	28.78019	28.88177	26.42374	27.96714	27.54981	28.99515	28.92846	29.00005	29.03863	28.7952	28.80747	27	27	27	45.4	45.4	45.4	50.032	0	225.61	11650000000	567	P02994	P02994	Elongation factor 1-alpha	TEF1
NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.75939	NaN	NaN	NaN	NaN	NaN	NaN	2	2	2	8.4	8.4	8.4	33.196	0.00088261	6.0824	2423400	8	P03872	P03872	Partitioning protein REP2	REP2
22.15208	22.24661	22.34981	22.31144	22.246	22.3427	22.24537	21.85764	21.68153	21.77921	22.71542	22.67758	22.06019	22.2297	22.25182	22.21392	21.44076	21.67478	NaN	21.8896	22.31507	22.13035	22.22747	22.19024	22.08884	22.05079	21.84334	25	22	22	23.8	21.4	21.4	123.91	0	164.03	110780000	143	P03965	P03965	Carbamoyl-phosphate synthase arginine-specific large chain	CPA2
NaN	NaN	NaN	18.49271	18.06229	18.49232	18.074	18.92024	18.51626	NaN	NaN	NaN	17.82277	17.89658	18.46659	18.37975	18.79589	18.50168	NaN	NaN	NaN	17.64505	17.78686	17.78334	18.15758	18.62916	18.12596	2	2	2	20.6	20.6	20.6	17.142	0.0008673	5.7611	5098900	14	P04037	P04037	Cytochrome c oxidase subunit 4, mitochondrial	COX4
NaN	NaN	NaN	18.6749	18.77517	18.51865	19.57681	NaN	NaN	NaN	NaN	20.0422	20.1437	20.13107	20.08382	20.47566	19.72046	20.26751	20.48385	21.54312	20.65342	22.30919	22.51101	22.15792	22.476	22.16592	22.03983	11	11	11	21.7	21.7	21.7	59.624	0	30.855	43797000	59	P04040ups	P04040ups		
19.89144	19.55779	NaN	19.7061	19.88181	19.89513	20.10354	19.81174	19.55977	19.91116	19.81073	19.6419	19.87686	19.9844	20.08589	20.01045	19.64447	19.83178	NaN	NaN	19.15847	19.92209	20.13283	19.7152	19.72998	19.68895	19.44906	9	9	9	19.2	19.2	19.2	56.719	0	37.313	20272000	63	P04046	P04046	Amidophosphoribosyltransferase	ADE4
21.1928	21.41452	21.34565	20.77242	20.78891	21.0279	21.11305	21.1142	21.48567	21.28546	21.28071	21.60458	21.07614	21.23731	21.16122	21.26945	21.39305	21.24481	21.00436	21.27435	21.07235	21.1442	20.99002	20.91276	21.12792	21.11063	21.4768	22	21	21	14.6	14.1	14.1	191.61	0	69.305	56020000	131	P04050	P04050	DNA-directed RNA polymerase II subunit RPB1	RPO21
