protein	X6A_1	X6A_2	X6A_3	X6A_4	X6A_5	X6A_6	X6A_7	X6A_8	X6A_9	X6B_1	X6B_2	X6B_3	X6B_4	X6B_5	X6B_6	X6B_7	X6B_8	X6B_9	X6C_1	X6C_2	X6C_3	X6C_4	X6C_5	X6C_6	X6C_7	X6C_8	X6C_9
P00815	21.98846	21.34413	21.79982	21.95141	21.90907	21.91674	21.93639	22.33879	22.11899	21.49877	21.4763	21.9029	21.9289	21.66822	21.96017	21.8341	22.1753	22.04019	21.33085	22.0422	21.36255	21.66999	21.76211	21.89959	21.91174	22.11245	22.18698
P00817	23.92669	24.36179	24.757	24.67638	24.5977	24.69631	24.48953	24.68116	24.74653	24.96737	24.537	24.851	24.42733	24.68051	24.5251	24.368	24.72463	24.68169	24.8658	24.21178	23.83123	24.46407	24.62193	24.50918	24.3025	24.80966	24.68827
P00830	22.84006	23.0065	22.99324	23.14261	23.2184	23.23396	23.41532	23.59206	23.57184	23.02543	23.01171	23.32759	23.00139	23.07114	23.19298	23.37226	23.63677	23.45739	23.07346	22.95853	23.22302	22.9514	23.08905	23.19735	23.28757	23.57577	23.38732
P00890	NaN	NaN	NaN	18.77793	18.59485	18.44912	17.62756	17.8219	18.14525	NaN	NaN	NaN	18.09538	18.20996	18.31933	17.34377	NaN	17.80644	NaN	NaN	NaN	17.90771	17.88804	18.04313	17.22327	18.09254	18.30019
P00899	21.30011	21.55305	21.89138	21.28901	21.16349	21.32915	21.29771	21.29367	21.4494	21.18368	21.53545	21.52191	21.05417	21.20592	21.4288	21.30235	21.21128	21.3165	21.1475	21.63134	21.71473	21.0745	21.2858	21.11693	21.20108	21.14861	21.34624
P00915ups	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.23503	NaN	19.1137
P00918ups	NaN	NaN	NaN	NaN	18.99092	18.90483	NaN	NaN	NaN	NaN	NaN	NaN	20.2894	20.24319	19.87007	19.87458	19.81875	19.90982	NaN	NaN	21.3191	21.35407	20.95893	22.26931	21.39174	21.68432	20.86181
P00924	22.57489	22.55009	22.70056	23.11313	23.17054	23.29067	22.75538	22.26794	22.58003	22.71062	23.42547	23.33552	23.2737	23.18804	23.40224	23.00103	22.33936	22.39417	23.105	22.47442	23.16648	23.13693	23.30744	23.32237	22.4497	22.37785	22.5386
P00925	28.80876	28.6583	27.8759	29.22253	29.34187	29.43718	28.78544	28.63965	28.66969	28.05786	28.20466	27.59128	29.19547	29.38494	29.5477	28.71957	28.60862	28.53323	28.95213	28.43448	28.07643	29.22798	29.31216	29.22954	28.74631	28.68509	28.73292
P00927	19.32538	20.50978	20.52564	21.13301	21.15752	20.87283	20.69685	20.88017	20.81441	20.73265	20.50184	20.91598	20.90058	20.83376	20.79035	20.42686	20.72675	20.58829	NaN	20.64465	20.13521	20.74468	20.746	20.89608	20.38406	20.86189	20.60775
P00931	22.83459	22.79778	22.68404	23.07158	23.19287	23.24974	23.10738	23.2365	23.36386	22.55237	22.92187	23.4462	22.92644	23.18342	23.09634	23.17877	23.47988	23.2338	23.27682	22.90325	22.96455	22.96056	23.24718	23.18995	23.0384	23.26513	23.19369
P00937	NaN	NaN	NaN	19.92119	20.03147	19.77229	NaN	NaN	18.94266	NaN	NaN	NaN	19.25663	19.55972	19.79251	NaN	NaN	NaN	NaN	NaN	NaN	19.35145	19.42686	19.42039	NaN	NaN	NaN
P00942	26.01344	25.25533	25.14837	26.00526	26.28109	26.21466	26.63907	26.87162	26.55644	25.60057	25.21249	25.21623	25.93995	26.14472	26.20296	26.58276	26.69909	26.55751	25.6689	25.61787	25.2666	25.93276	26.14585	26.03299	26.38317	26.94089	26.58176
P00950	25.42499	25.36393	24.23352	27.54333	27.2658	27.15576	27.45348	27.41981	27.53853	25.32601	24.56104	23.74366	27.41587	27.39681	27.36052	27.43149	27.44979	27.39836	25.58626	24.54504	24.64191	27.39305	27.27932	27.32826	27.42246	27.49694	27.40844
P00958	22.75615	23.0202	22.94584	22.58974	22.94512	22.78963	22.43196	22.63205	22.62968	23.04828	22.81409	22.83973	22.63309	22.79834	22.82594	22.5417	22.22078	22.60243	21.76044	22.50857	22.90916	22.53065	22.83306	22.74792	22.50678	22.49106	22.53936
P01008ups;CON__P41361	NaN	NaN	NaN	NaN	NaN	NaN	18.73298	17.46348	NaN	NaN	NaN	NaN	NaN	NaN	17.59376	19.48795	18.37708	18.91503	NaN	NaN	NaN	19.88988	20.08447	20.04073	20.96614	19.59923	20.58233
P01031ups	NaN	NaN	NaN	18.71264	18.81212	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.50378	20.85453	20.78101	NaN	NaN	19.97505	NaN	NaN	NaN	22.26147	22.31595	22.15078	20.96508	21.38638	21.46034
P01112ups	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.52642
P01119	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.74826	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.69323	17.73198	NaN	NaN	NaN
P01120	NaN	NaN	NaN	19.97533	19.99631	19.84954	20.1858	20.42347	20.4915	NaN	NaN	NaN	20.15919	20.04926	19.97155	19.8642	20.47189	20.33985	NaN	NaN	NaN	19.96986	20.06289	19.59065	20.31849	20.27685	20.36506
P01123	NaN	21.85654	21.69362	21.97575	21.58738	21.74251	21.52507	21.97607	21.47259	21.85361	21.33745	21.59478	21.95134	21.74032	21.90569	21.36725	21.4065	21.53288	NaN	21.49346	21.76344	21.63648	21.38459	21.48454	21.26757	21.25194	21.15518
P01127ups	NaN	NaN	NaN	19.00487	18.67845	18.87781	19.42167	NaN	18.51056	NaN	NaN	NaN	20.34798	20.65665	20.16472	20.46971	20.32036	20.52526	NaN	NaN	NaN	22.61702	22.99473	23.06482	22.78648	22.80345	22.11547
P01344ups	NaN	NaN	NaN	18.3705	18.73394	18.60578	NaN	NaN	NaN	NaN	NaN	NaN	20.26991	20.90006	20.61594	19.18904	19.66239	19.43573	NaN	NaN	NaN	22.14796	22.18897	22.34033	21.71095	22.39765	22.32237
P01375ups	NaN	17.29446	NaN	17.84175	17.8343	17.94089	NaN	NaN	NaN	NaN	18.57633	19.88148	18.17065	18.10963	18.12	NaN	NaN	NaN	NaN	21.41101	19.97365	19.45286	NaN	20.74608	NaN	NaN	NaN
P02144ups	NaN	NaN	NaN	17.70516	17.94729	18.61259	NaN	NaN	NaN	NaN	NaN	NaN	19.18384	19.93431	19.59682	18.6607	19.63087	19.34161	NaN	NaN	NaN	21.52487	21.6428	21.85361	20.71398	21.8031	21.68505
P02294;P02293	NaN	26.00232	26.10771	24.54557	24.79744	24.59639	24.7052	24.39761	24.44714	25.6384	25.86283	25.02441	24.76557	24.76966	24.90205	24.65791	24.72432	24.29116	25.42393	25.85764	26.05492	24.80642	24.68742	24.90242	24.75964	24.31133	24.3394
P02309	22.72167	22.41483	22.06178	23.34137	23.55801	24.01231	24.29327	23.51629	23.93058	22.47346	21.84931	22.028	23.41067	23.69753	23.85567	24.10238	23.97919	23.84431	23.15131	22.29258	22.38382	23.93643	23.78207	23.85852	24.07071	23.76547	23.52373
P02400	25.71049	25.13641	25.53249	25.29642	25.23699	25.19622	25.42637	25.38387	25.18696	25.07079	25.04668	25.49271	24.91338	25.29134	25.11862	25.32677	25.35171	25.36276	25.56276	25.29148	25.60003	24.8867	25.10793	25.06225	25.24402	25.33763	25.36663
P02406	24.67815	25.282	25.47871	24.56366	24.62238	24.78497	24.49917	24.39643	24.12076	24.23812	25.32038	25.89196	24.50712	24.71518	24.69461	24.47933	24.36753	24.36586	25.88232	25.58964	25.31496	24.4706	24.45048	24.71973	24.49253	24.44152	24.35016
P14127;P02407	25.03112	25.17767	24.63284	26.37761	26.39154	26.3918	25.98618	26.06046	26.10286	25.09418	24.92592	24.44834	26.10225	26.39826	26.35879	25.87075	26.16452	26.0246	25.68646	25.36616	24.88553	25.89282	26.17509	26.24743	25.74894	26.3137	26.1776
P02557	19.21618	19.52426	19.2827	21.19202	20.87755	20.88144	19.72237	20.08978	20.1934	19.41634	19.61506	NaN	20.48326	20.50271	20.54661	19.70332	20.20884	20.07796	18.58274	19.97855	19.33322	20.25165	20.29367	20.53383	19.92605	20.43278	20.05285
P02753ups	NaN	NaN	NaN	19.49015	19.40137	19.38629	20.34646	19.71969	19.57178	NaN	NaN	NaN	21.01243	21.02432	21.4712	21.2458	20.98704	21.13138	NaN	NaN	NaN	22.47189	22.72546	22.66321	22.98005	22.18065	22.80796
P02787ups	NaN	18.82015	NaN	20.20108	20.15721	19.75006	20.05523	19.67382	19.8372	NaN	20.22635	19.94521	22.0482	22.04873	22.0069	22.33063	22.43672	22.39613	NaN	22.30226	23.05983	23.92515	24.44966	24.09192	24.3434	24.10278	23.81685
P02788ups	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	19.37719	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.37422	20.86393	21.07653	NaN	NaN	NaN
P02829	NaN	NaN	NaN	21.26127	21.64474	21.86053	21.64544	22.239	21.88577	NaN	NaN	NaN	21.59432	21.52602	21.51499	22.54024	NaN	21.4403	NaN	NaN	NaN	21.93722	21.7154	21.61899	21.95497	21.63653	21.77274
P02992	NaN	NaN	NaN	20.92426	20.51518	20.63494	20.47398	20.9276	21.07248	NaN	NaN	NaN	20.61351	20.49941	20.35735	20.31584	20.86098	20.87665	NaN	NaN	NaN	20.33353	20.2105	20.28093	20.50009	21.0627	20.88189
P02994	29.37613	29.605	27.96108	29.09308	29.04268	29.17726	29.04122	28.77725	28.87666	26.4589	29.71211	27.84715	29.07971	28.95956	29.03729	29.03949	28.78019	28.88177	26.42374	27.96714	27.54981	28.99515	28.92846	29.00005	29.03863	28.7952	28.80747
P03872	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.75939	NaN	NaN	NaN	NaN	NaN	NaN
P03965	22.15208	22.24661	22.34981	22.31144	22.246	22.3427	22.24537	21.85764	21.68153	21.77921	22.71542	22.67758	22.06019	22.2297	22.25182	22.21392	21.44076	21.67478	NaN	21.8896	22.31507	22.13035	22.22747	22.19024	22.08884	22.05079	21.84334
P04037	NaN	NaN	NaN	18.49271	18.06229	18.49232	18.074	18.92024	18.51626	NaN	NaN	NaN	17.82277	17.89658	18.46659	18.37975	18.79589	18.50168	NaN	NaN	NaN	17.64505	17.78686	17.78334	18.15758	18.62916	18.12596
P04040ups	NaN	NaN	NaN	18.6749	18.77517	18.51865	19.57681	NaN	NaN	NaN	NaN	20.0422	20.1437	20.13107	20.08382	20.47566	19.72046	20.26751	20.48385	21.54312	20.65342	22.30919	22.51101	22.15792	22.476	22.16592	22.03983
P04046	19.89144	19.55779	NaN	19.7061	19.88181	19.89513	20.10354	19.81174	19.55977	19.91116	19.81073	19.6419	19.87686	19.9844	20.08589	20.01045	19.64447	19.83178	NaN	NaN	19.15847	19.92209	20.13283	19.7152	19.72998	19.68895	19.44906
P04050	21.1928	21.41452	21.34565	20.77242	20.78891	21.0279	21.11305	21.1142	21.48567	21.28546	21.28071	21.60458	21.07614	21.23731	21.16122	21.26945	21.39305	21.24481	21.00436	21.27435	21.07235	21.1442	20.99002	20.91276	21.12792	21.11063	21.4768
P04076	19.81674	19.92165	19.98663	19.70134	19.58173	19.69262	19.73413	19.85605	20.00758	19.69294	19.69836	19.55041	19.4708	19.71554	19.7408	19.63112	19.69797	19.88988	NaN	19.85134	19.93287	19.62688	19.78024	19.42097	NaN	19.98371	19.70044
P04147	24.53629	24.69227	24.71884	24.71272	24.71989	24.73707	24.88874	25.02301	24.90812	24.6216	24.44107	24.31852	24.725	24.82333	24.84149	24.84943	25.09628	24.9147	24.23987	24.52779	24.62059	24.68742	24.75893	24.77977	24.74745	24.90325	24.89643
P04161	NaN	NaN	NaN	18.01775	18.09944	18.0418	NaN	NaN	NaN	NaN	NaN	NaN	18.08364	18.25645	18.18253	NaN	NaN	NaN	NaN	NaN	NaN	18.18234	18.20782	18.79551	NaN	NaN	NaN
P04449	25.17501	25.19257	25.1801	24.87225	25.08192	24.85105	24.955	25.33118	24.99019	24.7686	24.05755	24.90081	24.71597	24.72083	25.39976	24.85048	25.14647	25.0585	25.16986	24.79991	25.03389	24.71298	25.1025	25.0328	24.69726	24.81054	24.78387
P04456	25.37872	25.74517	25.46781	25.76403	25.87411	25.77055	25.94311	26.0371	26.04095	25.26999	25.26699	25.91818	25.66917	25.87049	25.8406	25.84995	26.19445	25.9919	25.39287	25.30703	25.82362	25.63802	25.73467	25.74499	25.78835	26.06698	25.88045
P04650	NaN	NaN	NaN	22.46234	22.51391	22.17133	22.43229	22.22847	22.02266	NaN	NaN	NaN	21.94696	22.35993	22.30566	22.69292	22.3427	22.45734	NaN	NaN	NaN	22.09619	22.31929	22.39153	22.48269	21.01985	22.02015
P04801	24.06316	24.02589	24.11759	23.80499	23.80322	23.81734	23.77344	23.75959	23.93139	24.34272	24.17752	24.13985	23.64625	23.79154	23.90931	23.90857	23.80627	23.94628	24.1281	24.27071	24.02268	23.70303	23.82842	23.74571	23.9266	23.64493	23.89966
P04802	23.92904	24.27718	24.67928	23.35326	23.59662	23.54922	23.76456	23.69689	23.91342	24.0053	24.49424	24.46737	23.4913	23.62756	23.80174	23.77143	24.05664	23.92053	23.88697	24.30855	24.18306	23.49363	23.60479	23.62756	23.67939	23.50894	23.80548
P04806	NaN	NaN	NaN	24.34354	24.31845	24.15283	24.22729	23.45212	23.1986	NaN	NaN	NaN	24.28785	24.27845	24.21608	24.30055	23.68217	NaN	NaN	NaN	NaN	24.46538	24.19978	24.61049	24.01725	23.78397	23.75205
P04807	23.62623	23.20482	23.84096	24.85795	25.15815	24.88096	24.5569	24.55198	24.63655	23.74745	24.05234	23.92025	24.84369	25.00063	25.05986	24.63815	24.93206	24.60099	23.49984	23.46538	23.93787	24.93984	24.98333	24.96248	24.69838	25.10996	25.15969
P04840	24.86311	24.83268	24.96886	23.95607	23.92651	24.0801	23.97246	24.1876	24.33981	24.89657	24.91629	24.85419	23.88036	24.07186	24.282	24.06636	24.17303	24.24815	25.12629	24.95731	24.98168	23.87061	24.11862	24.01657	23.88642	24.09933	24.14211
P04912;P04911	NaN	NaN	NaN	24.29299	19.60863	20.53403	23.07385	NaN	22.47373	24.77183	NaN	NaN	NaN	NaN	20.57173	23.0487	23.30034	23.38298	NaN	NaN	NaN	22.29233	NaN	NaN	23.0085	23.06919	23.22364
P05030;P19657	27.20983	27.46186	27.7337	26.9382	26.99324	27.00988	27.09678	27.17969	27.20238	27.62429	27.61884	27.60788	26.97071	27.09718	27.00924	27.10079	27.15393	27.1453	27.47452	27.27808	27.2507	27.06023	27.00699	26.97727	27.04812	27.03884	27.07969
P05317	25.10853	25.36061	25.68699	26.20064	26.0131	25.96598	25.18173	25.58603	25.59075	25.88967	25.30699	24.24945	25.7233	25.80449	25.96078	25.13246	25.11299	25.35064	26.34174	25.15054	24.68758	25.87519	25.97703	25.83502	25.25281	25.78472	25.62048
P05318	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.72293
P05319	22.13784	25.53115	25.35619	24.42438	24.21497	24.32787	NaN	25.04189	24.87018	25.23776	25.46432	25.62475	24.25789	24.43765	24.296	NaN	25.16959	24.87807	25.40162	25.36159	NaN	24.28433	24.4954	24.43231	24.63107	24.90362	24.6659
P05373	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.8951	NaN	NaN	NaN	NaN	NaN	NaN
P05374	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.52902	NaN	NaN	NaN
P05413ups	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	17.12303
P05453	NaN	NaN	NaN	22.16782	22.07146	22.19298	22.21033	22.02567	22.02114	NaN	NaN	NaN	21.99006	21.90676	22.16831	21.90852	21.80688	21.87545	NaN	NaN	NaN	21.8688	21.91309	21.80778	21.79086	22.20717	22.02303
P05626	NaN	NaN	NaN	19.57611	18.93796	19.09215	19.3909	19.26819	19.05142	NaN	NaN	NaN	18.81485	19.0765	18.95336	19.30844	19.38349	19.30459	NaN	NaN	NaN	18.71129	19.00785	19.0319	19.46457	19.14044	19.09713
P05694	23.22907	23.77726	23.51665	23.4711	23.47729	23.36399	23.47445	23.61246	23.39519	23.52385	23.53718	23.77485	23.31921	23.54227	23.47197	23.41209	23.6572	23.48099	22.77648	23.63279	23.18643	23.14757	23.45839	23.38232	23.37186	23.58164	23.4051
P05737	26.42222	26.32915	26.26616	26.22313	26.12955	26.1324	25.92472	25.76319	25.96036	26.17387	26.30998	26.10081	25.91534	26.0827	26.14071	26.01597	26.44902	25.78766	26.06562	26.29777	26.10306	25.8883	26.20363	26.08835	25.98943	26.59021	25.94458
P05738;P51401	25.67104	25.28835	24.44158	25.158	25.1495	25.03792	25.4037	24.95793	24.88865	25.84302	25.93103	25.37988	25.01988	25.61414	25.18722	25.48481	25.42826	25.01797	NaN	25.52984	25.45864	25.28606	25.45748	25.06575	25.36989	24.86684	24.91966
P05739	26.99075	26.69591	26.93988	25.68686	25.74947	25.74945	25.76068	25.569	25.67061	26.6327	26.82226	26.8918	25.64103	25.8159	25.87042	25.77608	25.649	25.72812	26.9888	26.44492	26.68124	25.80767	25.90302	25.73268	25.92377	25.25922	25.59181
P05740	24.20359	24.08115	23.77716	26.2536	26.4866	26.51033	26.31048	26.42781	26.3293	23.51256	23.32113	23.13973	26.29125	26.38602	26.58434	26.16073	26.28382	26.2247	22.83034	23.8261	23.28376	26.26302	26.42137	26.36575	26.21193	26.43215	26.39478
P05743	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.347	NaN	NaN	NaN	NaN	NaN	NaN	21.46603	NaN	NaN
P05744	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.53744	21.19905	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.15845	20.92492	NaN	NaN	NaN	NaN	NaN	NaN	NaN	21.47808	21.67689
P05745	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	18.08312	NaN	NaN	NaN
P05747	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	20.25176
P05748	24.65611	25.42758	25.85526	24.8699	24.96864	25.02479	25.36011	25.44351	25.31555	25.79285	25.73511	25.86117	24.75139	24.99408	24.96644	25.56779	25.43094	25.24728	NaN	25.68148	26.13406	24.90385	24.96521	24.94235	25.36513	25.46799	25.19351
P05749	22.43074	21.71163	21.31147	23.75918	23.19069	24.10837	22.33495	22.14868	21.80963	21.7067	21.368	20.76693	23.21576	24.00684	23.86174	23.18016	21.45372	21.83472	22.27662	21.30229	21.26751	23.49692	23.93661	24.10988	22.47902	21.82509	22.0279
P05750	26.93337	26.87935	26.74881	26.82542	26.81176	26.75251	26.66017	26.83617	26.64072	26.99809	26.98305	26.89203	26.60894	26.71489	26.78781	26.66166	26.77931	26.61751	26.86443	27.12228	26.85293	26.58018	26.7313	26.75723	26.52956	26.79253	26.55508
P05755	27.22793	27.32036	27.01903	26.72143	26.86183	26.82627	26.72091	26.56982	26.40201	26.78569	26.80464	26.88948	26.59662	26.91182	26.8749	26.78706	26.50496	26.29737	27.3262	26.88983	27.06085	26.90483	26.77052	26.65635	26.70622	26.27959	26.18541
P05756	25.26632	24.32416	24.39342	25.15904	25.091	24.69205	24.98702	24.9771	24.71419	24.38607	23.99421	23.89421	25.06184	25.06056	24.94141	25.09664	24.75832	24.87352	24.99036	24.12833	24.42034	25.04785	24.88688	24.86952	24.93017	24.83499	24.79338
