Raw file	Experiment	Fraction	Enzyme	Enzyme mode	Enzyme first search	Enzyme mode first search	Use enzyme first search	Variable modifications	Multi modifications	Variable modifications first search	Use variable modifications first search	Requantify	Multiplicity	Max. missed cleavages	Labels0	LC-MS run type	Time-dependent recalibration	MS	MS/MS	MS3	MS/MS Submitted	MS/MS Submitted (SIL)	MS/MS Submitted (ISO)	MS/MS Submitted (PEAK)	MS/MS Identified	MS/MS Identified (SIL)	MS/MS Identified (ISO)	MS/MS Identified (PEAK)	MS/MS Identified [%]	MS/MS Identified (SIL) [%]	MS/MS Identified (ISO) [%]	MS/MS Identified (PEAK) [%]	Peptide Sequences Identified	Peaks	Peaks Sequenced	Peaks Sequenced [%]	Peaks Repeatedly Sequenced	Peaks Repeatedly Sequenced [%]	Isotope Patterns	Isotope Patterns Sequenced	Isotope Patterns Sequenced (z>1)	Isotope Patterns Sequenced [%]	Isotope Patterns Sequenced (z>1) [%]	Isotope Patterns Repeatedly Sequenced	Isotope Patterns Repeatedly Sequenced [%]	Recalibrated	Av. Absolute Mass Deviation [ppm]	Mass Standard Deviation [ppm]	Av. Absolute Mass Deviation [mDa]	Mass Standard Deviation [mDa]	Label free norm param
20160321_QEp4_SoDo_SA_test_RV_Fraaction3	RVmatch	3	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8929	63859	0	72497	55221	0	17276	18011	17037	0	974	24.84	30.85	NaN	5.64	10420	786728	57208	7.27	3258	5.7	129596	48468	47624	37.4	41.4	4530	9.35	+	0.63737	0.91217	0.43221	0.65804	
20160321_QEp4_SoDo_SA_test_RV_Fraaction4	RVmatch	4	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		9262	61218	0	69545	52891	0	16654	16232	15334	0	898	23.34	28.99	NaN	5.39	9270	845238	54957	6.5	3196	5.82	131482	46431	45599	35.31	39.43	4479	9.65	+	0.62141	0.89193	0.42617	0.65535	
20160321_QEp4_SoDo_SA_test_RV_Fraaction5	RVmatch	5	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		9306	62058	0	70349	53767	0	16582	16514	15669	0	845	23.47	29.14	NaN	5.1	9100	888608	55238	6.22	3270	5.92	134463	46812	45885	34.81	39.04	4530	9.68	+	0.62506	0.90281	0.42478	0.65932	
20160321_QEp4_SoDo_SA_test_RV_Fraaction6	RVmatch	6	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		9418	61724	0	70401	53047	0	17354	16696	15695	0	1001	23.72	29.59	NaN	5.77	9230	871792	54796	6.29	3314	6.05	131857	46069	45205	34.94	39.48	4582	9.95	+	0.60912	0.88524	0.42006	0.66092	
20160321_QEp4_SoDo_SA_test_RV_Fraaction7	RVmatch	7	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		9713	60849	0	70299	51399	0	18900	16690	15812	0	878	23.74	30.76	NaN	4.65	9292	816775	53795	6.59	3267	6.07	123104	44559	43752	36.2	40.54	4536	10.18	+	0.63279	0.9118	0.43894	0.67848	
20160321_QEp4_SoDo_SA_test_RV_Fraaction8	RVmatch	8	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		9455	61642	0	70720	52564	0	18156	16481	15509	0	972	23.3	29.5	NaN	5.35	9418	844456	54898	6.5	3396	6.19	126885	45818	44901	36.11	40.68	4733	10.33	+	0.65025	0.92761	0.45106	0.69304	
20160321_QEp4_SoDo_SA_test_RV1	RV1match	100	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8728	69882	0	77674	62090	0	15584	25383	24282	0	1101	32.68	39.11	NaN	7.06	16422	869939	64303	7.39	3018	4.69	155710	55951	54912	35.93	40.51	4474	8	+	0.65656	0.94617	0.45505	0.70167	
20160321_QEp4_SoDo_SA_test_RV1_160401101340	RV1match	100	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8820	69675	0	77608	61742	0	15866	25002	23863	0	1139	32.22	38.65	NaN	7.18	16155	873522	64119	7.34	3013	4.7	154509	55639	54590	36.01	40.53	4430	7.96	+	0.65196	0.94208	0.45034	0.6964	
20160321_QEp4_SoDo_SA_test_RV2	RV2match	100	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		9012	68988	0	76769	61207	0	15562	25750	24617	0	1133	33.54	40.22	NaN	7.28	16443	868094	63531	7.32	2978	4.69	154346	55154	54106	35.73	40.25	4372	7.93	+	0.65162	0.93619	0.44995	0.69461	
20160321_QEp4_SoDo_SA_test_SV1	SV1match	100	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8927	68641	0	76304	60978	0	15326	24626	23484	0	1142	32.27	38.51	NaN	7.45	15790	901580	63252	7.02	2999	4.74	158997	55103	54039	34.66	38.91	4284	7.77	+	0.65505	0.94594	0.44768	0.69147	
20160321_QEp4_SoDo_SA_test_SV2	SV2match	100	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8933	69012	0	76767	61257	0	15510	25012	23772	0	1240	32.58	38.81	NaN	7.99	15956	893100	63591	7.12	2997	4.71	157565	55274	54240	35.08	39.39	4383	7.93	+	0.64745	0.93486	0.44257	0.68158	
20160408_QEp4_GeBo_SA_A17_test	A17match	100	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		6965	65624	0	71433	59815	0	11618	25172	24496	0	676	35.24	40.95	NaN	5.82	18275	782905	61850	7.9	2047	3.31	145855	55657	55019	38.16	41.86	3330	5.98	+	0.58099	0.84884	0.40577	0.63062	
20160411_QEp3_SoDo_SA_Easy12_7_A17T1_8frac_F1	A17T1match	1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		7224	63663	0	72094	55232	0	16862	17952	17202	0	750	24.9	31.14	NaN	4.45	10922	719161	58350	8.11	2673	4.58	126793	49498	48774	39.04	43.05	4323	8.73	+	0.55674	0.81537	0.3768	0.59835	
20160411_QEp3_SoDo_SA_Easy12_7_A17T1_8frac_F2	A17T1match	2	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		6943	62535	0	70909	54161	0	16748	17874	17138	0	736	25.21	31.64	NaN	4.39	10657	700180	57011	8.14	2644	4.64	126280	48394	47658	38.32	42.42	4259	8.8	+	0.56931	0.83174	0.38403	0.60624	
20160411_QEp3_SoDo_SA_Easy12_7_A17T1_8frac_F3	A17T1match	3	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		7934	61567	0	69868	53266	0	16602	17940	17219	0	721	25.68	32.33	NaN	4.34	10822	781346	56566	7.24	2465	4.36	129982	48038	47210	36.96	41.14	4070	8.47	+	0.56518	0.82784	0.38397	0.6109	
20160411_QEp3_SoDo_SA_Easy12_7_A17T1_8frac_F4	A17T1match	4	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		7365	63731	0	73693	53769	0	19924	17858	17110	0	748	24.23	31.82	NaN	3.75	10715	679095	57805	8.51	2617	4.53	119159	47927	47133	40.22	44.67	4284	8.94	+	0.57124	0.83303	0.39009	0.61895	
20160411_QEp3_SoDo_SA_Easy12_7_A17T1_8frac_F5	A17T1match	5	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		6599	62812	0	71105	54519	0	16586	17971	17167	0	804	25.27	31.49	NaN	4.85	10985	683416	57579	8.43	2516	4.37	125383	49141	48404	39.19	43.01	4047	8.24	+	0.55631	0.81297	0.3731	0.58891	
20160411_QEp3_SoDo_SA_Easy12_7_A17T1_8frac_F6	A17T1match	6	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		7045	65313	0	74316	56310	0	18006	19106	18289	0	817	25.71	32.48	NaN	4.54	11582	693408	59928	8.64	2586	4.32	126426	50629	49904	40.05	44.09	4319	8.53	+	0.55208	0.81265	0.37762	0.60051	
20160411_QEp3_SoDo_SA_Easy12_7_A17T1_8frac_F7	A17T1match	7	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		7570	64783	0	74012	55554	0	18458	18329	17487	0	842	24.76	31.48	NaN	4.56	11141	708416	59340	8.38	2611	4.4	127126	49991	49228	39.32	43.58	4397	8.8	+	0.5697	0.83387	0.38426	0.60614	
20160411_QEp3_SoDo_SA_Easy12_7_A17T1_8frac_F8	A17T1match	8	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		7871	58892	0	64949	52835	0	12114	16257	15628	0	629	25.03	29.58	NaN	5.19	10654	785194	54728	6.97	2277	4.16	132294	47972	47366	36.26	39.87	3720	7.75	+	0.5491	0.80507	0.35872	0.56271	
20160425_QEp4_SoDo_SA_LC12_AV	Avmatch	100	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		6785	66571	0	73747	59395	0	14352	24037	23285	0	752	32.59	39.2	NaN	5.24	15634	752599	61620	8.19	2790	4.53	143545	53713	52591	37.42	43.78	4555	8.48	+	0.62568	0.90262	0.42927	0.65822	
20160425_QEp4_SoDo_SA_LC12_PulAr	PulArmatch	100	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		6554	61172	0	67893	54451	0	13442	16589	16155	0	434	24.43	29.67	NaN	3.23	11303	669878	56137	8.38	2824	5.03	119305	48803	48049	40.91	45.48	4367	8.95	+	0.58685	0.85669	0.38892	0.60395	
20160425_QEp4_SoDo_SA_LC12_PulKl	Pulklmatch	100	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		6450	59572	0	68584	50560	0	18024	10539	10115	0	424	15.37	20.01	NaN	2.35	7103	581399	53519	9.21	3013	5.63	99287	44081	43360	44.4	48.94	4893	11.1	+	0.56871	0.82363	0.37859	0.59073	
20160425_QEp4_SoDo_SA_LC12_RA-8fraction1	Ra-8Fraction1match	1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		9700	60320	0	71298	49342	0	21956	17750	16841	0	909	24.9	34.13	NaN	4.14	10008	638159	53129	8.33	3173	5.97	101704	42710	41856	41.99	47.66	4953	11.6	+	0.59666	0.86417	0.41661	0.64035	
20160425_QEp4_SoDo_SA_LC12_RA-8fraction2	Ra-8Fraction2match	2	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		9187	60567	0	70965	50169	0	20796	16146	15414	0	732	22.75	30.72	NaN	3.52	9461	680599	54226	7.97	2945	5.43	108318	43972	43154	40.6	45.99	4793	10.9	+	0.60509	0.87545	0.41774	0.64889	
20160425_QEp4_SoDo_SA_LC12_RA-8fraction3	Ra-8Fraction3match	3	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8806	63102	0	73664	52540	0	21124	19356	18451	0	905	26.28	35.12	NaN	4.28	10948	645295	56451	8.75	3074	5.45	107557	46056	45157	42.82	48.47	4963	10.78	+	0.6041	0.87235	0.42394	0.66004	
20160425_QEp4_SoDo_SA_LC12_RA-8fraction4	Ra-8Fraction4match	4	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		9905	59146	0	68640	49652	0	18988	16802	16145	0	657	24.48	32.52	NaN	3.46	10026	666947	52967	7.94	2739	5.17	107293	43590	42779	40.63	46.33	4428	10.16	+	0.58239	0.84132	0.41519	0.64706	
20160425_QEp4_SoDo_SA_LC12_RA-8fraction5	Ra-8Fraction5match	5	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		9535	60361	0	69865	50857	0	19008	17983	17333	0	650	25.74	34.08	NaN	3.42	10896	660470	54166	8.2	2844	5.25	107112	44904	44017	41.92	47.37	4394	9.79	+	0.58814	0.85006	0.4141	0.63999	
20160425_QEp4_SoDo_SA_LC12_RA-8fraction6	Ra-8Fraction6match	6	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		9513	59618	0	72162	47074	0	25088	15145	14368	0	777	20.99	30.52	NaN	3.1	9128	609528	52341	8.59	2845	5.44	97756	40824	39944	41.76	47.51	4588	11.24	+	0.60568	0.87012	0.42215	0.65401	
20160425_QEp4_SoDo_SA_LC12_RA-8fraction7	Ra-8Fraction7match	7	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		11423	54810	0	66373	43245	0	23128	14614	13876	0	738	22.02	32.09	NaN	3.19	8655	692118	47867	6.92	2582	5.39	98447	37727	36835	38.32	44.78	4035	10.7	+	0.57292	0.83437	0.39469	0.61453	
20160425_QEp4_SoDo_SA_LC12_RA-8fraction8	Ra-8Fraction8match	8	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		10637	54914	0	64149	45679	0	18470	14735	14063	0	672	22.97	30.79	NaN	3.64	8727	708018	48526	6.85	2920	6.02	102984	39685	38838	38.54	44.59	4397	11.08	+	0.57367	0.83654	0.39765	0.6243	
20160425_QEp4_SoDo_SA_LC12_RA-test100min250-1	Ra-Test100Min250-1match	100	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8330	62498	0	68915	56081	0	12834	22101	21359	0	742	32.07	38.09	NaN	5.78	15113	816564	57506	7.04	2945	5.12	131942	50304	49481	38.13	42.32	4448	8.84	+	0.61452	0.89078	0.41407	0.6328	
20160425_QEp4_SoDo_SA_LC12_RA-test100min250-2	Ra-Test100Min250-2match	100	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8290	62727	0	68826	56628	0	12198	22329	21616	0	713	32.44	38.17	NaN	5.85	15327	838721	57870	6.9	2939	5.08	136232	50866	50091	37.34	41.71	4403	8.66	+	0.63178	0.91442	0.43082	0.66356	
20160425_QEp4_SoDo_SA_LC12_RA-test100min450-2	Ra-Test100Min450-2match	100	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8708	59692	0	65434	53950	0	11484	21153	20400	0	753	32.33	37.81	NaN	6.56	14194	812449	55168	6.79	2720	4.93	129649	48664	47985	37.54	42.01	4080	8.38	+	0.61652	0.89354	0.41083	0.62661	
20160425_QEp4_SoDo_SA_LC12_RA-test100min450-74max-1	Ra-Test100Min450-74Max-1match	100	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8267	61530	0	68274	54786	0	13488	19455	18684	0	771	28.5	34.1	NaN	5.72	13305	735255	55061	7.49	4015	7.29	122909	47472	46731	38.62	42.48	5547	11.68	+	0.60278	0.86944	0.3819	0.58072	
20160425_QEp4_SoDo_SA_LC12_RA-test100min450-74max-2	Ra-Test100Min450-74Max-2match	100	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		7947	62767	0	69752	55782	0	13970	20064	19358	0	706	28.76	34.7	NaN	5.05	13598	715632	56197	7.85	4071	7.24	122067	48247	47533	39.53	43.17	5768	11.96	+	0.61284	0.884	0.38723	0.5891	
20160425_QEp4_SoDo_SA_LC12_RA-test100min450-74maxAddGradient-1	Ra-Test100Min450-74Maxaddgradient-1match	100	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		6681	65703	0	72550	58856	0	13694	22276	21480	0	796	30.7	36.5	NaN	5.81	15068	722726	60799	8.41	2870	4.72	137151	53259	52293	38.83	44.13	4434	8.33	+	0.62192	0.89914	0.4186	0.64288	
20160425_QEp4_SoDo_SA_LC12_RA-test100min450-74maxAddGradient-2	Ra-Test100Min450-74Maxaddgradient-2match	100	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		8034	55328	0	60790	49866	0	10924	17832	17325	0	507	29.33	34.74	NaN	4.64	12113	730406	50614	6.93	2746	5.43	116910	44343	43744	37.93	41.38	4032	9.09	+	0.58487	0.84804	0.38056	0.58516	
20160425_QEp4_SoDo_SA_LC12_SA	Samatch	100	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		7806	59960	0	67200	52720	0	14480	16668	16107	0	561	24.8	30.55	NaN	3.87	11339	722781	54711	7.57	2794	5.11	125389	47255	46269	37.69	42.96	4124	8.73	+	0.60836	0.88108	0.41211	0.64191	
20160425_QEp4_SoDo_SA_LC12_Tri_160504005348	Trimatch1	100	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		6222	68401	0	81390	55412	0	25978	9659	9257	0	402	11.87	16.71	NaN	1.55	6353	715074	61708	8.63	2258	3.66	125300	50145	49209	40.02	44.37	4198	8.37	+	0.60693	0.87306	0.41333	0.647	
20160502_QEp4_SoDo_SA_LC12_AV	Avmatch	100	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		5934	74838	0	82644	67032	0	15612	25785	25123	0	662	31.2	37.48	NaN	4.24	17761	897760	70742	7.88	1694	2.39	186311	63359	61811	34.01	40.22	3141	4.96	+	0.61117	0.88375	0.42436	0.65899	
20160502_QEp4_SoDo_SA_LC12_PulAr	Pularmatch	100	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		5923	67287	0	73113	61461	0	11652	17829	17385	0	444	24.39	28.29	NaN	3.81	13348	870324	64072	7.36	1563	2.44	169846	58197	57208	34.26	38.46	2760	4.74	+	0.61011	0.87686	0.4114	0.6333	
20160502_QEp4_SoDo_SA_LC12_PulKl	Pulklmatch	100	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		5420	65102	0	73009	57195	0	15814	11655	11278	0	377	15.96	19.72	NaN	2.38	8316	722305	60537	8.38	2034	3.36	139200	52866	51839	37.98	42.68	3498	6.62	+	0.59798	0.85752	0.40814	0.62911	
20160502_QEp4_SoDo_SA_LC12_RA1bisfirstexp	Ra1Bisfirstexpmatch	100	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		9125	70014	0	79030	60998	0	18032	22392	21579	0	813	28.33	35.38	NaN	4.51	15352	938187	64499	6.87	2705	4.19	156752	55261	53938	35.25	43.07	4584	8.3	+	0.63056	0.91812	0.4104	0.62651	
20160502_QEp4_SoDo_SA_LC12_RA2firstexp	Ra2Firstexpmatch	100	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		6694	77781	0	86411	69151	0	17260	26992	26103	0	889	31.24	37.75	NaN	5.15	18232	915114	72869	7.96	2510	3.44	182012	63860	62420	35.09	41.24	4412	6.91	+	0.65614	0.94007	0.45807	0.70422	
20160502_QEp4_SoDo_SA_LC12_RAA2578-8fraction1	Raa2578-8Fraction1match	1	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		7253	66283	0	73378	59188	0	14190	16805	16441	0	364	22.9	27.78	NaN	2.57	11403	849477	62621	7.37	1562	2.49	162920	55701	54839	34.19	38.13	2848	5.11	+	0.59132	0.84303	0.40105	0.61586	
20160502_QEp4_SoDo_SA_LC12_RAA2578-8fraction2	Raa2578-8Fraction2match	2	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		7184	66708	0	74060	59356	0	14704	16836	16478	0	358	22.73	27.76	NaN	2.43	11281	830349	63109	7.6	1601	2.54	158950	55756	54883	35.08	38.62	2963	5.31	+	0.60388	0.86653	0.41455	0.64062	
20160502_QEp4_SoDo_SA_LC12_RAA2578-8fraction3	Raa2578-8Fraction3match	3	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		7619	67450	0	76107	58793	0	17314	16223	15813	0	410	21.32	26.9	NaN	2.37	10882	808332	63298	7.83	1657	2.62	152776	55027	54096	36.02	40.32	3106	5.64	+	0.60385	0.87423	0.41194	0.64375	
20160502_QEp4_SoDo_SA_LC12_RAA2578-8fraction4	Raa2578-8Fraction4match	4	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		7038	67524	0	74965	60083	0	14882	17378	17002	0	376	23.18	28.3	NaN	2.53	11672	840930	63887	7.6	1667	2.61	160073	56506	55654	35.3	38.74	3007	5.32	+	0.59006	0.85004	0.40153	0.62554	
20160502_QEp4_SoDo_SA_LC12_RAA2578-8fraction5	Raa2578-8Fraction5match	5	Trypsin/P	Specific			False	Oxidation (M);Acetyl (Protein N-term)			False	False	1	2		Standard		7416	68289	0	75789	60789	0	15000	17821	17368	0	453	23.51	28.57	NaN	3.02	12229	865545	64574	7.46	1647	2.55	166669	57228	56271	34.34	37.96	2982	5.21	+	0.58745	0.84642	0.40041	0.61961	
