Gene names	Protein IDs	Majority protein IDs	Protein names	RA3	RA4	RA8	LA3	LA4	LA8	SepA3	SepA4	SepA8	RV3	RV4	RV8	LV3	LV4	LV8	SepV3	SepV4	SepV8
C11orf54	Q9H0W9;A0A087WT99;Q9H0W9-2;Q9H0W9-4;Q9H0W9-3;E9PPB5;E9PQS1;E9PR95;E9PSC3;E9PLC5;E9PLB3;E9PIP1	Q9H0W9;A0A087WT99;Q9H0W9-2;Q9H0W9-4;Q9H0W9-3;E9PPB5;E9PQS1	Ester hydrolase C11orf54	29.4967468275895	28.7777484399096	29.7860941549405	29.8557130039016	29.0741862247708	29.3856416207514	28.7956308721791	28.1502044530369	28.8300792658709	29.5010444711018	29.0920451057371	29.0431215954715	28.8229269944864	28.9662299948366	28.9090774738643	28.7030910520635	28.2567390817002	29.0201978246213
COL1A2	P08123;A0A087WTA8	P08123;A0A087WTA8	Collagen alpha-2(I) chain	34.9982043864926	36.1796258423681	35.0853184988723	35.5759600348991	35.8617976960529	35.599705648498	35.8474946184403	35.5678816446611	35.5439763624628	34.0274600326451	34.388692900865	34.6878642658804	34.4465907533715	34.0337083227349	33.7584149392083	33.5299700663929	33.5584183337932	33.536932333782
PTPDC1	A0A087WTF0;A2A3K4-2;A2A3K4	A0A087WTF0;A2A3K4-2;A2A3K4	Protein tyrosine phosphatase domain-containing protein 1	21.3938826964946	22.8191718214739	NA	23.1345974064961	NA	NA	NA	NA	NA	22.4926013707411	NA	NA	NA	NA	NA	24.4948487499822	21.9185619263199	23.1528888760812
CYP2A6;CYP2A13	P11509;Q16696;A0A087WTI7	P11509;Q16696;A0A087WTI7	Cytochrome P450 2A6;Cytochrome P450 2A13	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
GIMAP1-GIMAP5;GIMAP5	A0A087WTJ2;Q96F15;Q96F15-2;A0A0D9SFP0	A0A087WTJ2;Q96F15;Q96F15-2	GTPase IMAP family member 5	25.1969304480818	26.0094310761649	26.1009524586613	26.0528119644165	26.5128143524744	25.5392835504646	25.7055648944353	26.4901270399984	26.6769403745901	25.6841833734598	26.1451102712507	25.7892012856824	25.1481010383549	25.5982115587017	25.6942894396165	25.6612029071127	25.2352032144032	25.3159638077122
PTPRJ	Q12913;A0A087WTK0;A0A087WVC6;Q12913-2	Q12913;A0A087WTK0;A0A087WVC6	Receptor-type tyrosine-protein phosphatase eta;Protein-tyrosine-phosphatase	26.747912274609	25.3598114790304	26.073164847708	NA	25.9917240645788	25.8422532684936	26.9730086993971	NA	NA	NA	24.8063163627747	26.1870126510315	NA	NA	NA	NA	NA	24.1654566294985
APOB	A0A087WTM7;A8MUN2	A0A087WTM7		24.7265042321277	NA	24.0431007305431	25.1049358988851	23.6867766347688	24.6597067727431	NA	24.239652715996	23.7243198273801	24.189258120606	24.1882773369086	25.124867220393	24.5364108644019	23.9643747144074	24.4417709755327	24.0112880053491	22.8583840187192	NA
SLC39A7	Q92504;A0A087WTX2;A2AAT0	Q92504;A0A087WTX2	Zinc transporter SLC39A7	24.7621788436821	24.7776606629985	25.0307375112781	25.2373932088138	26.5240405567225	26.0181825167337	23.698269729734	25.8008230964396	25.452650723458	23.9975716261636	24.2799426445153	23.386402476223	24.7694613664507	24.1979803353603	23.9395713234068	25.0934159523941	24.443542551106	24.8691954459006
IGKC	A0A087WTX5;A0A0C4DH73;A0A0B4J2E7	A0A087WTX5		26.0000029237021	26.013291659969	24.8772230881738	23.0079737414113	25.9729210814604	24.6761602558666	NA	25.064351026623	NA	22.509371996231	24.6789559689769	NA	NA	NA	NA	NA	NA	NA
GBA3	Q9H227;A0A087WTY7;A0A087WWR5;Q9H227-2	Q9H227;A0A087WTY7	Cytosolic beta-glucosidase	NA	NA	NA	22.7262547532025	21.8073486323927	22.9753854952199	NA	23.0859249420814	NA	NA	NA	NA	NA	NA	NA	NA	NA	26.6183492042727
ERGIC2	Q96RQ1;A0A087WU02;H0YI50;F8VPA6;F8W0R1;H0YI58;F8VR88;F8VUZ2;F8VRW9;H0YHS0;H0YHJ8	Q96RQ1;A0A087WU02;H0YI50;F8VPA6	Endoplasmic reticulum-Golgi intermediate compartment protein 2	25.8403574639637	25.536529438828	25.2151940699312	25.8231092718613	25.1226179108021	22.4608398130301	25.4040238472894	24.2331562159274	24.6325075954888	25.7803417174694	25.3835379272565	25.3970859992132	25.5057912054134	25.0018290794075	25.1209187395198	23.4784013083176	NA	24.6056902019566
GYPA;GPErik	P02724;P02724-3;Q13030;E9PH25;E7EQF3;E9PD10;A0A087WU29;A0A0C4DFT7;P02724-2	P02724;P02724-3;Q13030;E9PH25;E7EQF3;E9PD10;A0A087WU29;A0A0C4DFT7;P02724-2	Glycophorin-A	25.2511865035243	24.5852591976108	24.4230368956713	24.0014425569562	22.5068566935159	NA	24.2195579197331	NA	25.5020011402866	25.2984153045868	25.6305926422356	26.6364405337805	25.2091814400809	26.733761786266	25.1965553031019	24.4986880572758	NA	25.2303734927889
MAGT1	Q9H0U3;A0A087WU53;Q9H0U3-2	Q9H0U3;A0A087WU53	Magnesium transporter protein 1	28.0989365335861	26.965321921214	27.7629391572917	27.3147544351145	27.478077230295	27.2613200678414	25.5571020868953	26.5584457048229	26.5926340491311	28.0765836183934	27.7171191210634	27.4674659983599	27.6809687512978	27.3086055319742	26.292038199497	26.5866341205192	24.6954581299705	25.9881087468277
POLA1	P09884;A0A087WU64;A6NMQ1	P09884;A0A087WU64;A6NMQ1	DNA polymerase alpha catalytic subunit;DNA polymerase	NA	NA	22.9307026925106	NA	NA	22.9255508180647	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
CHST13	Q8NET6;A0A087WU70;Q8NET6-2	Q8NET6;A0A087WU70;Q8NET6-2	Carbohydrate sulfotransferase 13	NA	NA	NA	21.8819249976243	NA	NA	NA	NA	NA	NA	NA	23.0309647756134	NA	24.5284440949821	NA	NA	NA	NA
TNFAIP3	P21580;D3TTY5;A0A087WU80;A0A087WXL5;A0A087X1N1;A0A087WVN3;Q5VXQ8;Q5VXQ9	P21580;D3TTY5;A0A087WU80;A0A087WXL5;A0A087X1N1	Tumor necrosis factor alpha-induced protein 3;A20p50;A20p37	NA	22.4605648830548	19.2829255196054	21.7889126481384	22.6492395094536	NA	23.3435370796843	NA	21.572143226732	19.9114475812804	NA	NA	NA	21.7710848025114	21.5261648894426	23.4096343621005	22.1851948477455	NA
IGHV3-49	A0A087WU91;A0A0A0MS15	A0A087WU91;A0A0A0MS15		26.0358213490819	25.9664225430563	25.845487179579	26.2678519571886	24.5821608217696	25.8998897654304	25.2800134672758	25.4264961368033	24.7444774678859	25.0438933857624	26.0970986860698	23.9099472705169	25.0524181337383	26.0183735614024	25.0431841884462	24.5965064467659	22.6194355078243	24.3187242869872
CTNNBL1	Q8WYA6;A0A087WUB9;Q8WYA6-4;Q8WYA6-3;Q8WYA6-2;A2A2P1	Q8WYA6;A0A087WUB9;Q8WYA6-4;Q8WYA6-3;Q8WYA6-2	Beta-catenin-like protein 1	25.1724934340207	25.3461100569258	25.0380844005904	24.5637204337578	25.443763845171	25.6139171303147	24.1245517392982	24.4249597202141	23.0286567999865	24.3835708854399	25.1068935585091	24.3620545743999	24.3262198952332	24.211931059298	24.5928621251795	24.2896834670594	24.8657547889836	23.6533786742382
SPCS2	Q15005;A0A087WUC6;E9PI68;E9PL01;E9PRB9;H0YE04	Q15005;A0A087WUC6;E9PI68;E9PL01;E9PRB9	Signal peptidase complex subunit 2	28.0057100320767	27.2022843771984	27.8326768123387	27.462872044217	27.6768059014539	27.340110611621	27.0397793626505	27.9491564814776	26.6577185950503	26.8440986836473	26.704246039749	26.4365543558256	26.9822879170754	26.6575823181843	26.3513602474007	26.9162718361493	25.8921266139715	27.140144353542
ZNF787	A0A087WUD1;Q6DD87	A0A087WUD1;Q6DD87	Zinc finger protein 787	NA	NA	22.7224865371651	NA	NA	NA	21.2873178386806	NA	NA	23.0420320427629	22.8080953384603	NA	NA	NA	NA	NA	NA	NA
CCL16	A0A087WUE5;O15467	A0A087WUE5;O15467	C-C motif chemokine;C-C motif chemokine 16	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
